source,target,weight
MOp1 left,MOp1 left,965.375
MOp1 left,MOs1 left,712
MOp1 left,SSp-n1 left,41.5
MOp1 left,SSp-bfd1 left,13.5
MOp1 left,SSp-ll1 left,1.75
MOp1 left,SSp-m1 left,154.375
MOp1 left,SSp-ul1 left,50.125
MOp1 left,SSp-tr1 left,2.75
MOp1 left,SSp-un1 left,4
MOp1 left,VISam1 left,0.125
MOp1 left,RSPagl1 left,0.75
MOp1 left,RSPd1 left,4.625
MOp1 left,VISa1 left,1.5
MOp1 left,MOB left,16.375
MOp1 right,MOp1 right,799.25
MOp1 right,MOs1 right,642
MOp1 right,SSp-n1 right,27.625
MOp1 right,SSp-bfd1 right,42.75
MOp1 right,SSp-ll1 right,11.75
MOp1 right,SSp-m1 right,176.375
MOp1 right,SSp-ul1 right,57.5
MOp1 right,SSp-tr1 right,2.25
MOp1 right,SSp-un1 right,9
MOp1 right,SSs1 right,0.25
MOp1 right,VISal1 right,0.5
MOp1 right,VISam1 right,1.375
MOp1 right,VISp1 right,7.375
MOp1 right,VISpm1 right,2.375
MOp1 right,RSPagl1 right,7.25
MOp1 right,RSPd1 right,0.625
MOp1 right,VISa1 right,0.375
MOp1 right,VISrl1 right,0.125
MOp1 right,MOB right,6.25
MOs1 left,MOp1 left,664.625
MOs1 left,MOs1 left,3388.625
MOs1 left,SSp-n1 left,40.5
MOs1 left,SSp-bfd1 left,16.375
MOs1 left,SSp-m1 left,82.5
MOs1 left,SSp-ul1 left,36.75
MOs1 left,SSp-un1 left,6.625
MOs1 left,VISam1 left,0.875
MOs1 left,VISp1 left,2.5
MOs1 left,VISpm1 left,0.375
MOs1 left,RSPagl1 left,0.375
MOs1 left,VISrl1 left,0.25
MOs1 left,MOB left,41.625
MOs1 right,MOp1 right,444.75
MOs1 right,MOs1 right,2948.75
MOs1 right,SSp-n1 right,23.5
MOs1 right,SSp-bfd1 right,9.375
MOs1 right,SSp-ll1 right,0.875
MOs1 right,SSp-m1 right,75.625
MOs1 right,SSp-ul1 right,29
MOs1 right,SSp-tr1 right,0.125
MOs1 right,SSp-un1 right,7.5
MOs1 right,SSs1 right,0.125
MOs1 right,RSPagl1 right,3.375
MOs1 right,RSPd1 right,4.125
MOs1 right,VISa1 right,0.125
MOs1 right,MOB right,16.875
SSp-n1 left,MOp1 left,164
SSp-n1 left,MOs1 left,304.5
SSp-n1 left,SSp-n1 left,1079.125
SSp-n1 left,SSp-bfd1 left,287.5
SSp-n1 left,SSp-ll1 left,0.125
SSp-n1 left,SSp-m1 left,234.125
SSp-n1 left,SSp-ul1 left,23.375
SSp-n1 left,SSp-un1 left,32.5
SSp-n1 left,SSs1 left,3.75
SSp-n1 left,VISp1 left,3.375
SSp-n1 left,RSPagl1 left,4.75
SSp-n1 left,RSPd1 left,7.875
SSp-n1 left,VISa1 left,0.125
SSp-n1 left,VISrl1 left,0.375
SSp-n1 left,MOB left,10.5
SSp-n1 right,MOp1 right,162.25
SSp-n1 right,MOs1 right,256.375
SSp-n1 right,SSp-n1 right,670.5
SSp-n1 right,SSp-bfd1 right,118.375
SSp-n1 right,SSp-m1 right,337.125
SSp-n1 right,SSp-ul1 right,25.75
SSp-n1 right,SSp-un1 right,29.625
SSp-n1 right,SSs1 right,2.625
SSp-n1 right,MOB right,2
SSp-bfd1 left,MOp1 left,105.625
SSp-bfd1 left,MOs1 left,168.375
SSp-bfd1 left,SSp-n1 left,665
SSp-bfd1 left,SSp-bfd1 left,2733.875
SSp-bfd1 left,SSp-ll1 left,1.5
SSp-bfd1 left,SSp-m1 left,111.625
SSp-bfd1 left,SSp-ul1 left,60.125
SSp-bfd1 left,SSp-tr1 left,8.125
SSp-bfd1 left,SSp-un1 left,59.375
SSp-bfd1 left,SSs1 left,26.75
SSp-bfd1 left,VISal1 left,3
SSp-bfd1 left,VISam1 left,4.25
SSp-bfd1 left,VISp1 left,10.125
SSp-bfd1 left,VISpm1 left,0.75
SSp-bfd1 left,RSPagl1 left,12.625
SSp-bfd1 left,RSPd1 left,1.875
SSp-bfd1 left,VISa1 left,10.75
SSp-bfd1 left,VISrl1 left,13.25
SSp-bfd1 left,MOB left,0.625
SSp-bfd1 right,MOp1 right,80.875
SSp-bfd1 right,MOs1 right,116.5
SSp-bfd1 right,SSp-n1 right,264
SSp-bfd1 right,SSp-bfd1 right,1209.625
SSp-bfd1 right,SSp-m1 right,53.75
SSp-bfd1 right,SSp-ul1 right,27.125
SSp-bfd1 right,SSp-tr1 right,3.125
SSp-bfd1 right,SSp-un1 right,62.375
SSp-bfd1 right,SSs1 right,7.625
SSp-bfd1 right,VISal1 right,1.25
SSp-bfd1 right,VISam1 right,0.125
SSp-bfd1 right,VISp1 right,5
SSp-bfd1 right,VISpm1 right,1.75
SSp-bfd1 right,RSPagl1 right,0.5
SSp-bfd1 right,RSPd1 right,0.875
SSp-bfd1 right,VISa1 right,1.875
SSp-bfd1 right,VISrl1 right,4.875
SSp-bfd1 right,MOB right,5.25
SSp-ll1 left,MOp1 left,51.375
SSp-ll1 left,MOs1 left,52.875
SSp-ll1 left,SSp-n1 left,0.5
SSp-ll1 left,SSp-bfd1 left,5.625
SSp-ll1 left,SSp-ll1 left,88.125
SSp-ll1 left,SSp-m1 left,6
SSp-ll1 left,SSp-ul1 left,22.625
SSp-ll1 left,SSp-tr1 left,40.25
SSp-ll1 left,SSp-un1 left,0.125
SSp-ll1 left,VISal1 left,0.125
SSp-ll1 left,VISam1 left,5.875
SSp-ll1 left,VISp1 left,12.25
SSp-ll1 left,VISpm1 left,3.125
SSp-ll1 left,RSPagl1 left,15.125
SSp-ll1 left,RSPd1 left,10.25
SSp-ll1 left,VISa1 left,11.75
SSp-ll1 left,MOB left,0.875
SSp-ll1 right,MOp1 right,30.75
SSp-ll1 right,MOs1 right,36.375
SSp-ll1 right,SSp-n1 right,1.25
SSp-ll1 right,SSp-bfd1 right,10.625
SSp-ll1 right,SSp-ll1 right,80
SSp-ll1 right,SSp-m1 right,2.125
SSp-ll1 right,SSp-ul1 right,16.625
SSp-ll1 right,SSp-tr1 right,32.625
SSp-ll1 right,SSp-un1 right,3.5
SSp-ll1 right,SSs1 right,0.5
SSp-ll1 right,VISal1 right,2.375
SSp-ll1 right,VISp1 right,21.125
SSp-ll1 right,VISpm1 right,6.625
SSp-ll1 right,RSPagl1 right,22.5
SSp-ll1 right,RSPd1 right,17
SSp-ll1 right,VISa1 right,1.25
SSp-ll1 right,MOB right,11.875
SSp-m1 left,MOp1 left,420
SSp-m1 left,MOs1 left,510.625
SSp-m1 left,SSp-n1 left,201.625
SSp-m1 left,SSp-bfd1 left,79.125
SSp-m1 left,SSp-m1 left,564.75
SSp-m1 left,SSp-ul1 left,88.375
SSp-m1 left,SSp-un1 left,29
SSp-m1 left,SSs1 left,1.25
SSp-m1 left,VISp1 left,0.25
SSp-m1 left,RSPd1 left,0.875
SSp-m1 left,MOB left,21.625
SSp-m1 right,MOp1 right,427.875
SSp-m1 right,MOs1 right,415.625
SSp-m1 right,SSp-n1 right,87.375
SSp-m1 right,SSp-bfd1 right,30.375
SSp-m1 right,SSp-ll1 right,6.625
SSp-m1 right,SSp-m1 right,581.625
SSp-m1 right,SSp-ul1 right,48.875
SSp-m1 right,SSp-tr1 right,0.125
SSp-m1 right,SSp-un1 right,12.625
SSp-m1 right,SSs1 right,0.875
SSp-m1 right,VISal1 right,0.5
SSp-m1 right,VISp1 right,2.5
SSp-m1 right,RSPagl1 right,1.875
SSp-m1 right,RSPd1 right,6.375
SSp-m1 right,VISa1 right,0.125
SSp-m1 right,MOB right,10.875
SSp-ul1 left,MOp1 left,159.125
SSp-ul1 left,MOs1 left,161.125
SSp-ul1 left,SSp-n1 left,21.625
SSp-ul1 left,SSp-bfd1 left,36.5
SSp-ul1 left,SSp-ll1 left,7
SSp-ul1 left,SSp-m1 left,94.875
SSp-ul1 left,SSp-ul1 left,176.75
SSp-ul1 left,SSp-tr1 left,0.375
SSp-ul1 left,SSp-un1 left,14
SSp-ul1 left,VISp1 left,5.375
SSp-ul1 left,VISpm1 left,0.25
SSp-ul1 left,MOB left,5.375
SSp-ul1 right,MOp1 right,60
SSp-ul1 right,MOs1 right,50.25
SSp-ul1 right,SSp-n1 right,7.25
SSp-ul1 right,SSp-bfd1 right,6.5
SSp-ul1 right,SSp-ll1 right,6.125
SSp-ul1 right,SSp-m1 right,28.625
SSp-ul1 right,SSp-ul1 right,71.75
SSp-ul1 right,SSp-tr1 right,4.25
SSp-ul1 right,SSp-un1 right,4.375
SSp-ul1 right,SSs1 right,0.125
SSp-ul1 right,VISal1 right,0.125
SSp-ul1 right,VISp1 right,1.375
SSp-ul1 right,VISpm1 right,0.125
SSp-ul1 right,RSPd1 right,0.625
SSp-ul1 right,VISa1 right,1.125
SSp-ul1 right,MOB right,0.25
SSp-tr1 left,MOp1 left,24.375
SSp-tr1 left,MOs1 left,40.25
SSp-tr1 left,SSp-n1 left,0.25
SSp-tr1 left,SSp-bfd1 left,22
SSp-tr1 left,SSp-ll1 left,38.625
SSp-tr1 left,SSp-m1 left,0.375
SSp-tr1 left,SSp-ul1 left,16.125
SSp-tr1 left,SSp-tr1 left,46.125
SSp-tr1 left,SSp-un1 left,4.5
SSp-tr1 left,SSs1 left,4.25
SSp-tr1 left,VISal1 left,8.125
SSp-tr1 left,VISam1 left,11.75
SSp-tr1 left,VISl1 left,8.25
SSp-tr1 left,VISp1 left,78.75
SSp-tr1 left,VISpm1 left,13.875
SSp-tr1 left,RSPagl1 left,36.875
SSp-tr1 left,RSPd1 left,41.875
SSp-tr1 left,VISa1 left,20.125
SSp-tr1 left,VISrl1 left,11.25
SSp-tr1 right,MOp1 right,12
SSp-tr1 right,MOs1 right,13
SSp-tr1 right,SSp-bfd1 right,1.625
SSp-tr1 right,SSp-ll1 right,11.375
SSp-tr1 right,SSp-m1 right,0.5
SSp-tr1 right,SSp-ul1 right,0.375
SSp-tr1 right,SSp-tr1 right,48.75
SSp-tr1 right,SSp-un1 right,0.875
SSp-tr1 right,VISal1 right,1.625
SSp-tr1 right,VISam1 right,4.75
SSp-tr1 right,VISp1 right,12
SSp-tr1 right,VISpm1 right,0.875
SSp-tr1 right,RSPagl1 right,16.75
SSp-tr1 right,RSPd1 right,5.25
SSp-tr1 right,VISa1 right,14.625
SSp-tr1 right,VISrl1 right,4.75
SSp-un1 left,MOp1 left,6
SSp-un1 left,MOs1 left,2.25
SSp-un1 left,SSp-n1 left,9.625
SSp-un1 left,SSp-bfd1 left,9
SSp-un1 left,SSp-m1 left,1.75
SSp-un1 left,SSp-ul1 left,3.125
