source,target,weight
MOp1 left,MOp1 left,267.285714285714
MOp1 left,MOs1 left,72.1428571428571
MOp1 left,SSp-n1 left,19.8571428571429
MOp1 left,SSp-bfd1 left,17.7142857142857
MOp1 left,SSp-ll1 left,1.71428571428571
MOp1 left,SSp-m1 left,32.7142857142857
MOp1 left,SSp-ul1 left,11.4285714285714
MOp1 left,SSp-un1 left,4.57142857142857
MOp1 left,VISp1 left,2.42857142857143
MOp1 left,VISpm1 left,1.42857142857143
MOp1 left,RSPagl1 left,3.14285714285714
MOp1 left,VISrl1 left,5.85714285714286
MOp1 left,MOB left,6.28571428571429
MOp1 right,MOp1 right,233.428571428571
MOp1 right,MOs1 right,4.28571428571429
MOp1 right,SSp-n1 right,8.14285714285714
MOp1 right,SSp-bfd1 right,4.57142857142857
MOp1 right,SSp-ll1 right,0.285714285714286
MOp1 right,SSp-m1 right,29.7142857142857
MOp1 right,SSp-ul1 right,4.28571428571429
MOp1 right,SSp-un1 right,2.14285714285714
MOp1 right,SSs1 right,1.57142857142857
MOp1 right,MOB right,0.142857142857143
MOs1 left,MOp1 left,147
MOs1 left,MOs1 left,453.571428571429
MOs1 left,SSp-n1 left,37.7142857142857
MOs1 left,SSp-bfd1 left,3.85714285714286
MOs1 left,SSp-m1 left,46.1428571428571
MOs1 left,SSp-ul1 left,15
MOs1 left,SSp-tr1 left,2.28571428571429
MOs1 left,SSp-un1 left,3.14285714285714
MOs1 left,VISal1 left,9.71428571428571
MOs1 left,VISp1 left,35.5714285714286
MOs1 left,RSPagl1 left,9.85714285714286
MOs1 left,RSPd1 left,24.5714285714286
MOs1 left,VISrl1 left,9.28571428571429
MOs1 left,MOB left,28.7142857142857
MOs1 right,MOp1 right,2.28571428571429
MOs1 right,MOs1 right,111.142857142857
MOs1 right,SSp-n1 right,0.857142857142857
MOs1 right,SSp-bfd1 right,0.142857142857143
MOs1 right,SSp-m1 right,3.85714285714286
MOs1 right,SSs1 right,1
MOs1 right,MOB right,6.85714285714286
SSp-n1 left,MOp1 left,330.857142857143
SSp-n1 left,MOs1 left,29.7142857142857
SSp-n1 left,SSp-n1 left,1695.71428571429
SSp-n1 left,SSp-bfd1 left,528.142857142857
SSp-n1 left,SSp-ll1 left,0.571428571428571
SSp-n1 left,SSp-m1 left,1070.57142857143
SSp-n1 left,SSp-ul1 left,115.285714285714
SSp-n1 left,SSp-un1 left,73.5714285714286
SSp-n1 left,VISal1 left,2.42857142857143
SSp-n1 left,VISrl1 left,0.142857142857143
SSp-n1 left,MOB left,0.428571428571429
SSp-n1 right,MOp1 right,152.285714285714
SSp-n1 right,MOs1 right,12.5714285714286
SSp-n1 right,SSp-n1 right,702
SSp-n1 right,SSp-bfd1 right,109
SSp-n1 right,SSp-m1 right,476.428571428571
SSp-n1 right,SSp-ul1 right,25.4285714285714
SSp-n1 right,SSp-un1 right,15.4285714285714
SSp-n1 right,SSs1 right,42.8571428571429
SSp-n1 right,VISal1 right,1.85714285714286
SSp-n1 right,VISp1 right,0.714285714285714
SSp-n1 right,MOB right,0.428571428571429
SSp-bfd1 left,MOp1 left,122.142857142857
SSp-bfd1 left,MOs1 left,77.5714285714286
SSp-bfd1 left,SSp-n1 left,204.428571428571
SSp-bfd1 left,SSp-bfd1 left,375.857142857143
SSp-bfd1 left,SSp-ll1 left,0.142857142857143
SSp-bfd1 left,SSp-m1 left,151.571428571429
SSp-bfd1 left,SSp-ul1 left,56.8571428571429
SSp-bfd1 left,SSp-un1 left,20.1428571428571
SSp-bfd1 left,VISal1 left,13.8571428571429
SSp-bfd1 left,VISam1 left,10.5714285714286
SSp-bfd1 left,VISp1 left,68.4285714285714
SSp-bfd1 left,VISpm1 left,16
SSp-bfd1 left,RSPagl1 left,20.4285714285714
SSp-bfd1 left,RSPd1 left,29.8571428571429
SSp-bfd1 left,VISa1 left,9.71428571428571
SSp-bfd1 left,VISrl1 left,13
SSp-bfd1 left,MOB left,7.42857142857143
SSp-bfd1 right,MOp1 right,14.1428571428571
SSp-bfd1 right,MOs1 right,2.14285714285714
SSp-bfd1 right,SSp-n1 right,48
SSp-bfd1 right,SSp-bfd1 right,123.142857142857
SSp-bfd1 right,SSp-m1 right,39.8571428571429
SSp-bfd1 right,SSp-ul1 right,2.28571428571429
SSp-bfd1 right,SSp-tr1 right,0.285714285714286
SSp-bfd1 right,SSp-un1 right,0.142857142857143
SSp-bfd1 right,SSs1 right,32.4285714285714
SSp-bfd1 right,VISal1 right,0.714285714285714
SSp-bfd1 right,VISa1 right,0.428571428571429
SSp-bfd1 right,VISrl1 right,0.285714285714286
SSp-bfd1 right,MOB right,0.285714285714286
SSp-ll1 left,MOp1 left,18.5714285714286
SSp-ll1 left,MOs1 left,105.857142857143
SSp-ll1 left,SSp-n1 left,10.8571428571429
SSp-ll1 left,SSp-bfd1 left,2.14285714285714
SSp-ll1 left,SSp-ll1 left,14.1428571428571
SSp-ll1 left,SSp-m1 left,17
SSp-ll1 left,SSp-ul1 left,17.4285714285714
SSp-ll1 left,SSp-tr1 left,1.42857142857143
SSp-ll1 left,SSp-un1 left,0.142857142857143
SSp-ll1 left,VISal1 left,0.571428571428571
SSp-ll1 left,VISp1 left,8.14285714285714
SSp-ll1 left,RSPagl1 left,3.42857142857143
SSp-ll1 left,RSPd1 left,22.2857142857143
SSp-ll1 left,MOB left,21.5714285714286
SSp-ll1 right,MOp1 right,0.428571428571429
SSp-ll1 right,MOs1 right,11.2857142857143
SSp-ll1 right,SSp-bfd1 right,0.142857142857143
SSp-ll1 right,SSp-ll1 right,10.4285714285714
SSp-ll1 right,SSp-m1 right,0.857142857142857
SSp-ll1 right,SSp-ul1 right,0.714285714285714
SSp-ll1 right,SSp-tr1 right,1.42857142857143
SSp-ll1 right,SSs1 right,0.142857142857143
SSp-ll1 right,VISal1 right,0.857142857142857
SSp-ll1 right,VISam1 right,0.142857142857143
SSp-ll1 right,VISp1 right,5.71428571428571
SSp-ll1 right,VISpm1 right,2.71428571428571
SSp-ll1 right,RSPagl1 right,31.5714285714286
SSp-ll1 right,RSPd1 right,91
SSp-ll1 right,VISrl1 right,0.714285714285714
SSp-ll1 right,MOB right,3.71428571428571
SSp-m1 left,MOp1 left,90.8571428571429
SSp-m1 left,MOs1 left,5.28571428571429
SSp-m1 left,SSp-n1 left,181.285714285714
SSp-m1 left,SSp-bfd1 left,60.1428571428571
