source,target,weight
MOp1 left,MOp1 left,33.7635679290527
MOp1 left,MOs1 left,7.05428111627963
MOp1 left,SSp-n1 left,0.609297230349163
MOp1 left,SSp-bfd1 left,0.444361231688662
MOp1 left,SSp-ll1 left,0.185758476794688
MOp1 left,SSp-m1 left,2.06591398259844
MOp1 left,SSp-ul1 left,0.828697747495018
MOp1 left,SSp-tr1 left,0.13709051253183
MOp1 left,SSp-un1 left,0.0576937108584548
MOp1 left,SSs1 left,0.0648913455013558
MOp1 left,VISal1 left,0.0252603190234216
MOp1 left,VISam1 left,0.13827938368593
MOp1 left,VISp1 left,1.01552902283395
MOp1 left,VISpm1 left,0.550234142179206
MOp1 left,RSPagl1 left,1.32275607644631
MOp1 left,RSPd1 left,2.45280682175281
MOp1 left,VISa1 left,0.0563055892506968
MOp1 left,VISrl1 left,0.0870997162626596
MOp1 left,MOB left,0.331564029272391
MOp1 right,MOp1 right,23.6137668780233
MOp1 right,MOs1 right,6.27943895250977
MOp1 right,SSp-n1 right,0.400617654394303
MOp1 right,SSp-bfd1 right,0.531701898254106
MOp1 right,SSp-ll1 right,0.599052041377413
MOp1 right,SSp-m1 right,2.57566642460821
MOp1 right,SSp-ul1 right,0.59748751789792
MOp1 right,SSp-tr1 right,0.180001688258639
MOp1 right,SSp-un1 right,0.0466728900334952
MOp1 right,SSs1 right,0.0753718175791301
MOp1 right,VISal1 right,0.0732831605320853
MOp1 right,VISam1 right,0.164385049221854
MOp1 right,VISp1 right,1.04486091967191
MOp1 right,VISpm1 right,0.889990232099024
MOp1 right,RSPagl1 right,2.31462755998698
MOp1 right,RSPd1 right,4.24773374494748
MOp1 right,VISa1 right,0.0359775212560154
MOp1 right,VISrl1 right,0.0188843243657717
MOp1 right,MOB right,0.637421590555163
MOs1 left,MOp1 left,6.08962276780519
MOs1 left,MOs1 left,103.677287528645
MOs1 left,SSp-n1 left,0.629736212479235
MOs1 left,SSp-bfd1 left,0.514493497655242
MOs1 left,SSp-ll1 left,0.826600885323992
MOs1 left,SSp-m1 left,0.931853792403052
MOs1 left,SSp-ul1 left,0.557977239108888
MOs1 left,SSp-tr1 left,0.238073149123586
MOs1 left,SSp-un1 left,0.0528875732586479
MOs1 left,SSs1 left,0.0203799704104394
MOs1 left,VISal1 left,0.308502388931501
MOs1 left,VISam1 left,0.313368394196447
MOs1 left,VISp1 left,3.42450236381811
MOs1 left,VISpm1 left,0.865662463566192
MOs1 left,RSPagl1 left,2.17890858182474
MOs1 left,RSPd1 left,3.96532009607475
MOs1 left,VISa1 left,0.228844627061454
MOs1 left,VISrl1 left,0.432475931165438
MOs1 left,MOB left,2.05779335397475
MOs1 right,MOp1 right,3.66127609588838
MOs1 right,MOs1 right,99.8189743359125
MOs1 right,SSp-n1 right,0.491681535938768
MOs1 right,SSp-bfd1 right,0.249771134303605
MOs1 right,SSp-ll1 right,0.864616653607071
MOs1 right,SSp-m1 right,0.747572015139071
MOs1 right,SSp-ul1 right,0.346818704200301
MOs1 right,SSp-tr1 right,0.296880033906926
MOs1 right,SSp-un1 right,0.0511529842718817
MOs1 right,SSs1 right,0.0527228838769907
MOs1 right,VISal1 right,0.174019880762538
MOs1 right,VISam1 right,0.232942007132117
MOs1 right,VISp1 right,2.84632788602352
MOs1 right,VISpm1 right,1.20954183648349
MOs1 right,RSPagl1 right,2.63969390658625
