source,target,weight
MOp1 left,MOp1 left,883.5
MOp1 left,MOs1 left,693.583333333333
MOp1 left,SSp-n1 left,59.75
MOp1 left,SSp-bfd1 left,74.0833333333333
MOp1 left,SSp-ll1 left,60
MOp1 left,SSp-m1 left,137.333333333333
MOp1 left,SSp-ul1 left,74.5833333333333
MOp1 left,SSp-tr1 left,42.5
MOp1 left,SSp-un1 left,16.0833333333333
MOp1 left,SSs1 left,4.91666666666667
MOp1 left,VISal1 left,23.1666666666667
MOp1 left,VISam1 left,104.666666666667
MOp1 left,VISp1 left,488.083333333333
MOp1 left,VISpm1 left,270
MOp1 left,RSPagl1 left,486.666666666667
MOp1 left,RSPd1 left,798.916666666667
MOp1 left,VISa1 left,61.5
MOp1 left,VISrl1 left,39.5833333333333
MOp1 left,MOB left,50.0833333333333
MOp1 right,MOp1 right,757
MOp1 right,MOs1 right,929.583333333333
MOp1 right,SSp-n1 right,69.5
MOp1 right,SSp-bfd1 right,125.666666666667
MOp1 right,SSp-ll1 right,112.25
MOp1 right,SSp-m1 right,228
MOp1 right,SSp-ul1 right,107.916666666667
MOp1 right,SSp-tr1 right,56.5
MOp1 right,SSp-un1 right,20.25
MOp1 right,SSs1 right,21.5833333333333
MOp1 right,VISal1 right,35.4166666666667
MOp1 right,VISam1 right,118.5
MOp1 right,VISp1 right,538.083333333333
MOp1 right,VISpm1 right,386.75
MOp1 right,RSPagl1 right,795.916666666667
MOp1 right,RSPd1 right,1258.16666666667
MOp1 right,VISa1 right,49
MOp1 right,VISrl1 right,28.8333333333333
MOp1 right,MOB right,86.1666666666667
MOs1 left,MOp1 left,1120.08333333333
MOs1 left,MOs1 left,5307.16666666667
MOs1 left,SSp-n1 left,134.583333333333
MOs1 left,SSp-bfd1 left,380.416666666667
MOs1 left,SSp-ll1 left,393.916666666667
MOs1 left,SSp-m1 left,227
MOs1 left,SSp-ul1 left,227.416666666667
MOs1 left,SSp-tr1 left,230.416666666667
MOs1 left,SSp-un1 left,53.1666666666667
MOs1 left,SSs1 left,35.4166666666667
MOs1 left,VISal1 left,180
MOs1 left,VISam1 left,313.583333333333
MOs1 left,VISp1 left,1933.91666666667
MOs1 left,VISpm1 left,658.916666666667
MOs1 left,RSPagl1 left,1080.83333333333
MOs1 left,RSPd1 left,1753.16666666667
MOs1 left,VISa1 left,327.666666666667
MOs1 left,VISrl1 left,267.833333333333
MOs1 left,MOB left,211.5
MOs1 right,MOp1 right,672.083333333333
MOs1 right,MOs1 right,3995.5
MOs1 right,SSp-n1 right,107.916666666667
MOs1 right,SSp-bfd1 right,256
MOs1 right,SSp-ll1 right,323.583333333333
MOs1 right,SSp-m1 right,168.25
MOs1 right,SSp-ul1 right,195.333333333333
MOs1 right,SSp-tr1 right,206.25
MOs1 right,SSp-un1 right,52.0833333333333
MOs1 right,SSs1 right,30.1666666666667
MOs1 right,VISal1 right,80.5
MOs1 right,VISam1 right,192.583333333333
MOs1 right,VISp1 right,1126.08333333333
MOs1 right,VISpm1 right,546.916666666667
MOs1 right,RSPagl1 right,1022.91666666667
MOs1 right,RSPd1 right,1661.75
MOs1 right,VISa1 right,175.416666666667
