source,target,weight
MOp1 left,MOp1 left,60.5600707566009
MOp1 left,MOs1 left,23.459877508814
MOp1 left,SSp-n1 left,0.818934150822362
MOp1 left,SSp-bfd1 left,0.0929513511136718
MOp1 left,SSp-ll1 left,0.791427754228817
MOp1 left,SSp-m1 left,5.76870215207144
MOp1 left,SSp-ul1 left,1.64512857362084
MOp1 left,SSp-un1 left,0.0409674465258153
MOp1 left,SSs1 left,0.00716874054774419
MOp1 left,VISp1 left,0.317781104457751
MOp1 left,VISpm1 left,0.0438290086493679
MOp1 left,RSPagl1 left,0.286829547293619
MOp1 left,RSPd1 left,0.654884441858126
MOp1 left,MOB left,2.6519266648038
MOp1 right,MOp1 right,72.6512691931838
MOp1 right,MOs1 right,12.2571661414867
MOp1 right,SSp-n1 right,0.54999084222961
MOp1 right,SSp-bfd1 right,0.293586052463212
MOp1 right,SSp-ll1 right,0.54870315883743
MOp1 right,SSp-m1 right,6.69405789454415
MOp1 right,SSp-ul1 right,0.837355009085578
MOp1 right,SSp-tr1 right,0.071078431372549
MOp1 right,SSp-un1 right,0.000959692898272553
MOp1 right,VISal1 right,0.0852527191298784
MOp1 right,VISp1 right,0.00191938579654511
MOp1 right,RSPagl1 right,0.028018018018018
MOp1 right,RSPd1 right,0.539166666666667
MOp1 right,VISa1 right,0.0686274509803922
MOp1 right,VISrl1 right,0.000959692898272553
MOp1 right,MOB right,0.306925979155074
MOs1 left,MOp1 left,10.8986917908714
MOs1 left,MOs1 left,149.647403461556
MOs1 left,SSp-n1 left,0.425690887641114
MOs1 left,SSp-bfd1 left,0.0328613557801091
MOs1 left,SSp-ll1 left,0.0518014317445277
MOs1 left,SSp-m1 left,2.15703632078414
MOs1 left,SSp-ul1 left,0.550497331010329
MOs1 left,SSp-tr1 left,0.0438281213851818
MOs1 left,SSp-un1 left,0.0132051175091364
MOs1 left,SSs1 left,0.000296208530805687
MOs1 left,VISam1 left,0.0185220717486569
MOs1 left,VISl1 left,0.0139663658736669
MOs1 left,VISp1 left,0.180224580556151
MOs1 left,VISpm1 left,0.0494189618044911
MOs1 left,RSPagl1 left,0.396405568709658
MOs1 left,RSPd1 left,1.78600444949937
MOs1 left,VISa1 left,0.0404463040446304
MOs1 left,MOB left,8.46459666266219
MOs1 right,MOp1 right,5.40849285050886
MOs1 right,MOs1 right,132.503483770158
MOs1 right,SSp-n1 right,0.31465661641541
MOs1 right,SSp-bfd1 right,0.00810454434458248
MOs1 right,SSp-ll1 right,0.5670411255506
MOs1 right,SSp-m1 right,1.17992598307438
MOs1 right,SSp-ul1 right,0.389788814022954
MOs1 right,SSp-tr1 right,0.022075055187638
MOs1 right,SSp-un1 right,0.0304229480737018
MOs1 right,SSs1 right,0.00892923580623558
MOs1 right,VISal1 right,0.000335570469798658
MOs1 right,VISam1 right,0.0187919463087248
MOs1 right,VISp1 right,0.0183416871973494
MOs1 right,VISpm1 right,0.031649817347719
MOs1 right,RSPagl1 right,0.0477700263692258
MOs1 right,RSPd1 right,1.447580916272
MOs1 right,VISa1 right,0.00134228187919463
MOs1 right,MOB right,3.62007025621841
SSp-n1 left,MOp1 left,0.646152348769294
SSp-n1 left,MOs1 left,2.49620468870471
SSp-n1 left,SSp-n1 left,46.4011467092607
SSp-n1 left,SSp-bfd1 left,6.32881189015359
SSp-n1 left,SSp-ll1 left,0.257890867926806
SSp-n1 left,SSp-m1 left,6.04356230453827
SSp-n1 left,SSp-ul1 left,1.07601599079397
SSp-n1 left,SSp-tr1 left,0.0077452302467286
SSp-n1 left,SSp-un1 left,0.210196271577396
SSp-n1 left,SSs1 left,0.157959360962793
SSp-n1 left,VISal1 left,0.00108695652173913
SSp-n1 left,VISam1 left,0.108736276961526
SSp-n1 left,VISp1 left,0.309640471884473
SSp-n1 left,VISpm1 left,0.123076737403069
SSp-n1 left,RSPagl1 left,0.290985962449533
SSp-n1 left,RSPd1 left,0.226942518906102
SSp-n1 left,VISa1 left,0.122997261152267
SSp-n1 left,VISrl1 left,0.00156452901808011
SSp-n1 left,MOB left,0.233708408384534
SSp-n1 right,MOp1 right,0.755094091143441
SSp-n1 right,MOs1 right,0.567020538535222
SSp-n1 right,SSp-n1 right,100.745327668215
SSp-n1 right,SSp-bfd1 right,5.51309752143869
SSp-n1 right,SSp-ll1 right,0.113295071290794
SSp-n1 right,SSp-m1 right,8.70419865536281
SSp-n1 right,SSp-ul1 right,0.315463677435898
SSp-n1 right,SSp-tr1 right,0.0105235490150563
SSp-n1 right,SSp-un1 right,0.323305303550984
SSp-n1 right,SSs1 right,0.29897035178483
SSp-n1 right,RSPagl1 right,0.00481859410430839
SSp-n1 right,RSPd1 right,0.00935374149659864
SSp-n1 right,MOB right,0.115750686239408
SSp-bfd1 left,MOp1 left,0.386938607243761
SSp-bfd1 left,MOs1 left,1.29190075450874
SSp-bfd1 left,SSp-n1 left,7.54700414466525
SSp-bfd1 left,SSp-bfd1 left,54.8683855435592
SSp-bfd1 left,SSp-ll1 left,0.0326784101174345
SSp-bfd1 left,SSp-m1 left,1.32616063210215
SSp-bfd1 left,SSp-ul1 left,0.598064306682908
SSp-bfd1 left,SSp-tr1 left,0.157770396965641
SSp-bfd1 left,SSp-un1 left,1.01633215392082
SSp-bfd1 left,SSs1 left,0.471890717695284
SSp-bfd1 left,VISal1 left,0.0250170142918536
SSp-bfd1 left,VISam1 left,0.0710288117478411
SSp-bfd1 left,VISl1 left,0.125
SSp-bfd1 left,VISp1 left,0.866122413910349
SSp-bfd1 left,VISpm1 left,0.195892051184951
SSp-bfd1 left,RSPagl1 left,0.489179664018735
SSp-bfd1 left,RSPd1 left,1.32502880729829
SSp-bfd1 left,VISa1 left,0.103530664208169
