source,target,weight
MOp1 left,MOp1 left,3273.75
MOp1 left,MOs1 left,3286.5
MOp1 left,SSp-n1 left,130.5
MOp1 left,SSp-bfd1 left,41.5
MOp1 left,SSp-ll1 left,56.5
MOp1 left,SSp-m1 left,835.5
MOp1 left,SSp-ul1 left,279.75
MOp1 left,SSp-un1 left,26.5
MOp1 left,SSs1 left,2.25
MOp1 left,VISp1 left,60.5
MOp1 left,VISpm1 left,10.25
MOp1 left,RSPagl1 left,15.5
MOp1 left,RSPd1 left,56.25
MOp1 left,MOB left,180.5
MOp1 right,MOp1 right,795.5
MOp1 right,MOs1 right,906.25
MOp1 right,SSp-n1 right,9.25
MOp1 right,SSp-bfd1 right,1.5
MOp1 right,SSp-ll1 right,28.25
MOp1 right,SSp-m1 right,192
MOp1 right,SSp-ul1 right,22.75
MOp1 right,SSp-tr1 right,10.75
MOp1 right,SSp-un1 right,0.5
MOp1 right,VISal1 right,1.25
MOp1 right,VISp1 right,1
MOp1 right,RSPagl1 right,4.75
MOp1 right,RSPd1 right,28
MOp1 right,VISa1 right,3.5
MOp1 right,VISrl1 right,0.5
MOp1 right,MOB right,16.5
MOs1 left,MOp1 left,1394.5
MOs1 left,MOs1 left,10578
MOs1 left,SSp-n1 left,100.5
MOs1 left,SSp-bfd1 left,12.5
MOs1 left,SSp-ll1 left,22.25
MOs1 left,SSp-m1 left,255.25
MOs1 left,SSp-ul1 left,69.25
MOs1 left,SSp-tr1 left,31.5
MOs1 left,SSp-un1 left,10.5
MOs1 left,SSs1 left,0.25
MOs1 left,VISam1 left,13
MOs1 left,VISl1 left,1.5
MOs1 left,VISp1 left,10.5
MOs1 left,VISpm1 left,19.25
MOs1 left,RSPagl1 left,67.25
MOs1 left,RSPd1 left,184.75
MOs1 left,VISa1 left,29
MOs1 left,MOB left,800.75
MOs1 right,MOp1 right,398.5
MOs1 right,MOs1 right,4278.5
MOs1 right,SSp-n1 right,25
MOs1 right,SSp-bfd1 right,1.25
MOs1 right,SSp-ll1 right,60.25
MOs1 right,SSp-m1 right,48
MOs1 right,SSp-ul1 right,61.25
MOs1 right,SSp-tr1 right,10
MOs1 right,SSp-un1 right,3
MOs1 right,SSs1 right,2
MOs1 right,VISal1 right,0.25
MOs1 right,VISam1 right,14
MOs1 right,VISp1 right,13
MOs1 right,VISpm1 right,22.25
MOs1 right,RSPagl1 right,29.75
MOs1 right,RSPd1 right,86.5
MOs1 right,VISa1 right,1
MOs1 right,MOB right,210.25
SSp-n1 left,MOp1 left,138
SSp-n1 left,MOs1 left,511.75
SSp-n1 left,SSp-n1 left,1184
SSp-n1 left,SSp-bfd1 left,284.5
SSp-n1 left,SSp-ll1 left,18
SSp-n1 left,SSp-m1 left,195.75
SSp-n1 left,SSp-ul1 left,125.75
SSp-n1 left,SSp-tr1 left,4.75
SSp-n1 left,SSp-un1 left,22.75
SSp-n1 left,SSs1 left,4.25
SSp-n1 left,VISal1 left,0.25
SSp-n1 left,VISam1 left,27.25
SSp-n1 left,VISp1 left,93
SSp-n1 left,VISpm1 left,31.75
SSp-n1 left,RSPagl1 left,91
SSp-n1 left,RSPd1 left,120
SSp-n1 left,VISa1 left,25.5
SSp-n1 left,VISrl1 left,0.5
SSp-n1 left,MOB left,22.75
SSp-n1 right,MOp1 right,181
SSp-n1 right,MOs1 right,186
SSp-n1 right,SSp-n1 right,401
SSp-n1 right,SSp-bfd1 right,170.5
SSp-n1 right,SSp-ll1 right,58.5
SSp-n1 right,SSp-m1 right,163.25
SSp-n1 right,SSp-ul1 right,90.5
SSp-n1 right,SSp-tr1 right,5.5
SSp-n1 right,SSp-un1 right,35
SSp-n1 right,SSs1 right,5.25
SSp-n1 right,RSPagl1 right,8.5
SSp-n1 right,RSPd1 right,16.5
SSp-n1 right,MOB right,20.5
SSp-bfd1 left,MOp1 left,135.75
SSp-bfd1 left,MOs1 left,371.25
SSp-bfd1 left,SSp-n1 left,335.75
SSp-bfd1 left,SSp-bfd1 left,1313.25
SSp-bfd1 left,SSp-ll1 left,28.25
SSp-bfd1 left,SSp-m1 left,53.5
SSp-bfd1 left,SSp-ul1 left,90
SSp-bfd1 left,SSp-tr1 left,54.75
SSp-bfd1 left,SSp-un1 left,57
SSp-bfd1 left,SSs1 left,16.5
SSp-bfd1 left,VISal1 left,3.5
SSp-bfd1 left,VISam1 left,32.25
SSp-bfd1 left,VISl1 left,0.75
SSp-bfd1 left,VISp1 left,89.25
SSp-bfd1 left,VISpm1 left,55.75
SSp-bfd1 left,RSPagl1 left,131.75
SSp-bfd1 left,RSPd1 left,278.5
SSp-bfd1 left,VISa1 left,48.5
SSp-bfd1 left,VISrl1 left,43.25
