source,target,weight
MOp1 left,MOp1 left,5.66587864519184
MOp1 left,MOs1 left,3.50587604041519
MOp1 left,SSp-n1 left,0.465437716945179
MOp1 left,SSp-bfd1 left,0.176656134432588
MOp1 left,SSp-ll1 left,0.395277745191225
MOp1 left,SSp-m1 left,1.27438347668848
MOp1 left,SSp-ul1 left,0.220371069832492
MOp1 left,SSp-tr1 left,0.419045362383589
MOp1 left,SSp-un1 left,0.0362954502938597
MOp1 left,SSs1 left,0.0808080808080808
MOp1 left,VISal1 left,0.385641444527543
MOp1 left,VISam1 left,0.911962267100779
MOp1 left,VISp1 left,11.5321901997934
MOp1 left,VISpm1 left,3.79946837735453
MOp1 left,RSPagl1 left,6.31558856559235
MOp1 left,RSPd1 left,8.11195145551015
MOp1 left,VISa1 left,0.300157602846289
MOp1 left,VISrl1 left,0.525295774330632
MOp1 left,MOB left,0.338054414632218
MOp1 right,MOp1 right,6.81740751106294
MOp1 right,MOs1 right,4.02499078744978
MOp1 right,SSp-n1 right,0.848841917177528
MOp1 right,SSp-bfd1 right,0.21690471271548
MOp1 right,SSp-ll1 right,0.922943147647708
MOp1 right,SSp-m1 right,2.31315135912651
MOp1 right,SSp-ul1 right,0.395738031050791
MOp1 right,SSp-tr1 right,0.486338918282971
MOp1 right,SSp-un1 right,0.0360737079199412
MOp1 right,SSs1 right,0.177760674924682
MOp1 right,VISal1 right,0.534109606159159
MOp1 right,VISam1 right,0.665011000930897
MOp1 right,VISp1 right,5.97922032801614
MOp1 right,VISpm1 right,3.34464606969311
MOp1 right,RSPagl1 right,8.96826918136878
MOp1 right,RSPd1 right,24.5045006859559
MOp1 right,VISa1 right,0.193555426365492
MOp1 right,VISrl1 right,0.0776126594029434
MOp1 right,MOB right,3.82741270518516
MOs1 left,MOp1 left,6.66259618682182
MOs1 left,MOs1 left,20.7144940885246
MOs1 left,SSp-n1 left,2.08333128022461
MOs1 left,SSp-bfd1 left,1.04936206505507
MOs1 left,SSp-ll1 left,4.666922819878
MOs1 left,SSp-m1 left,5.23307944195495
MOs1 left,SSp-ul1 left,1.60282812486812
MOs1 left,SSp-tr1 left,1.72774757582351
MOs1 left,SSp-un1 left,0.246040570620252
MOs1 left,SSs1 left,0.0398508499117879
MOs1 left,VISal1 left,1.74219215511569
MOs1 left,VISam1 left,1.79664371226085
MOs1 left,VISp1 left,39.4628386621614
MOs1 left,VISpm1 left,7.55603764873356
MOs1 left,RSPagl1 left,12.7739698831512
MOs1 left,RSPd1 left,16.1776342182858
MOs1 left,VISa1 left,0.930215084476433
MOs1 left,VISrl1 left,1.5064317653348
MOs1 left,MOB left,2.49034716838285
MOs1 right,MOp1 right,3.4914520711288
MOs1 right,MOs1 right,12.8531268747293
MOs1 right,SSp-n1 right,1.69032259326269
MOs1 right,SSp-bfd1 right,1.3662421888929
MOs1 right,SSp-ll1 right,3.91138594746341
MOs1 right,SSp-m1 right,3.66409823893899
MOs1 right,SSp-ul1 right,0.82107198125807
MOs1 right,SSp-tr1 right,2.13679685362196
MOs1 right,SSp-un1 right,0.137773359087651
MOs1 right,SSs1 right,0.594535628820085
MOs1 right,VISal1 right,3.28830262213048
MOs1 right,VISam1 right,0.53931821154007
MOs1 right,VISp1 right,15.662499141096
MOs1 right,VISpm1 right,3.30574222781693
MOs1 right,RSPagl1 right,7.37649901596562
MOs1 right,RSPd1 right,17.2177710088804
MOs1 right,VISa1 right,0.415645129491894
MOs1 right,VISrl1 right,0.212224620796193
MOs1 right,MOB right,6.45403269795577
SSp-n1 left,MOp1 left,0.590738640697615
SSp-n1 left,MOs1 left,0.460654998308385
SSp-n1 left,SSp-n1 left,1.35759411074776
SSp-n1 left,SSp-bfd1 left,0.322986895296511
SSp-n1 left,SSp-ll1 left,0.116004563275528
SSp-n1 left,SSp-m1 left,0.653842750681406
SSp-n1 left,SSp-ul1 left,0.0691895557178921
SSp-n1 left,SSp-tr1 left,0.0632106413741697
SSp-n1 left,SSp-un1 left,0.00920037993910676
SSp-n1 left,SSs1 left,0.00172711571675302
SSp-n1 left,VISal1 left,0.00213586015735716
SSp-n1 left,VISam1 left,0.123444467219277
SSp-n1 left,VISp1 left,0.98175221745138
SSp-n1 left,VISpm1 left,0.333816228273783
SSp-n1 left,RSPagl1 left,0.971214060926323
SSp-n1 left,RSPd1 left,3.17035761864436
SSp-n1 left,VISa1 left,0.048881554557592
SSp-n1 left,VISrl1 left,0.0208333333333333
SSp-n1 left,MOB left,0.0311999260325065
SSp-n1 right,MOp1 right,0.186605316761909
SSp-n1 right,MOs1 right,0.125985599048328
SSp-n1 right,SSp-n1 right,2.46635966857943
SSp-n1 right,SSp-bfd1 right,0.000683922146535709
SSp-n1 right,SSp-ll1 right,0.0497006965025089
SSp-n1 right,SSp-m1 right,0.210167701257892
SSp-n1 right,SSp-ul1 right,0.00596146346109952
SSp-n1 right,SSp-tr1 right,0.0261932910367652
SSp-n1 right,SSs1 right,0.000785762511534697
SSp-n1 right,VISal1 right,0.016122855467414
