source,target,weight
MOp1 left,MOp1 left,1051.83333333333
MOp1 left,MOs1 left,1404
MOp1 left,SSp-n1 left,169.5
MOp1 left,SSp-bfd1 left,248.833333333333
MOp1 left,SSp-ll1 left,308.666666666667
MOp1 left,SSp-m1 left,273.333333333333
MOp1 left,SSp-ul1 left,222.166666666667
MOp1 left,SSp-tr1 left,250.5
MOp1 left,SSp-un1 left,59
MOp1 left,SSs1 left,2.66666666666667
MOp1 left,VISal1 left,171.333333333333
MOp1 left,VISam1 left,706.666666666667
MOp1 left,VISp1 left,4336.5
MOp1 left,VISpm1 left,1810.5
MOp1 left,RSPagl1 left,2697.66666666667
MOp1 left,RSPd1 left,3709.33333333333
MOp1 left,VISa1 left,348.333333333333
MOp1 left,VISrl1 left,203.833333333333
MOp1 left,MOB left,132.166666666667
MOp1 right,MOp1 right,997.166666666667
MOp1 right,MOs1 right,1629.83333333333
MOp1 right,SSp-n1 right,150.166666666667
MOp1 right,SSp-bfd1 right,272
MOp1 right,SSp-ll1 right,409.833333333333
MOp1 right,SSp-m1 right,414.833333333333
MOp1 right,SSp-ul1 right,263.833333333333
MOp1 right,SSp-tr1 right,292
MOp1 right,SSp-un1 right,49.1666666666667
MOp1 right,SSs1 right,61.6666666666667
MOp1 right,VISal1 right,190.666666666667
MOp1 right,VISam1 right,553.333333333333
MOp1 right,VISp1 right,3032.33333333333
MOp1 right,VISpm1 right,1739.5
MOp1 right,RSPagl1 right,3741.16666666667
MOp1 right,RSPd1 right,6563.33333333333
MOp1 right,VISa1 right,276.833333333333
MOp1 right,VISrl1 right,122.666666666667
MOp1 right,MOB right,267.166666666667
MOs1 left,MOp1 left,2911.33333333333
MOs1 left,MOs1 left,5366.33333333333
MOs1 left,SSp-n1 left,553.166666666667
MOs1 left,SSp-bfd1 left,1023.83333333333
MOs1 left,SSp-ll1 left,1722.83333333333
MOs1 left,SSp-m1 left,1000.66666666667
MOs1 left,SSp-ul1 left,923
MOs1 left,SSp-tr1 left,1008.83333333333
MOs1 left,SSp-un1 left,215
MOs1 left,SSs1 left,69.8333333333333
MOs1 left,VISal1 left,868.166666666667
MOs1 left,VISam1 left,1692.83333333333
MOs1 left,VISp1 left,14632.1666666667
MOs1 left,VISpm1 left,4394.33333333333
MOs1 left,RSPagl1 left,6233.83333333333
MOs1 left,RSPd1 left,8519.16666666667
MOs1 left,VISa1 left,1220.5
MOs1 left,VISrl1 left,939.166666666667
MOs1 left,MOB left,392.333333333333
MOs1 right,MOp1 right,1390
MOs1 right,MOs1 right,2942
MOs1 right,SSp-n1 right,335.666666666667
MOs1 right,SSp-bfd1 right,656.666666666667
MOs1 right,SSp-ll1 right,1147
MOs1 right,SSp-m1 right,551.166666666667
MOs1 right,SSp-ul1 right,514.166666666667
MOs1 right,SSp-tr1 right,724.833333333333
MOs1 right,SSp-un1 right,130.5
MOs1 right,SSs1 right,101.5
MOs1 right,VISal1 right,309.5
MOs1 right,VISam1 right,520.5
MOs1 right,VISp1 right,3526.83333333333
MOs1 right,VISpm1 right,1555.33333333333
MOs1 right,RSPagl1 right,2950.66666666667
MOs1 right,RSPd1 right,4935.33333333333
MOs1 right,VISa1 right,497.5
MOs1 right,VISrl1 right,196.666666666667
MOs1 right,MOB right,348.666666666667
SSp-n1 left,MOp1 left,331.5
SSp-n1 left,MOs1 left,284.333333333333
SSp-n1 left,SSp-n1 left,67
SSp-n1 left,SSp-bfd1 left,10.6666666666667
SSp-n1 left,SSp-ll1 left,82.3333333333333
SSp-n1 left,SSp-m1 left,91.1666666666667
SSp-n1 left,SSp-ul1 left,70.3333333333333
SSp-n1 left,SSp-tr1 left,64.5
SSp-n1 left,SSp-un1 left,4
SSp-n1 left,SSs1 left,0.333333333333333
SSp-n1 left,VISal1 left,2.5
SSp-n1 left,VISam1 left,109.5
SSp-n1 left,VISp1 left,257.833333333333
SSp-n1 left,VISpm1 left,224
SSp-n1 left,RSPagl1 left,467
SSp-n1 left,RSPd1 left,811.666666666667
SSp-n1 left,VISa1 left,53.3333333333333
SSp-n1 left,VISrl1 left,0.166666666666667
SSp-n1 left,MOB left,22.1666666666667
SSp-n1 right,MOp1 right,100
SSp-n1 right,MOs1 right,83.8333333333333
SSp-n1 right,SSp-n1 right,8.33333333333333
SSp-n1 right,SSp-bfd1 right,0.333333333333333
SSp-n1 right,SSp-ll1 right,33
SSp-n1 right,SSp-m1 right,30.1666666666667
SSp-n1 right,SSp-ul1 right,3.66666666666667
SSp-n1 right,SSp-tr1 right,20.6666666666667
SSp-n1 right,SSs1 right,0.833333333333333
SSp-n1 right,VISal1 right,2.33333333333333
SSp-n1 right,VISam1 right,18.6666666666667
SSp-n1 right,VISp1 right,28.1666666666667
SSp-n1 right,VISpm1 right,67.8333333333333
SSp-n1 right,RSPagl1 right,187.166666666667
SSp-n1 right,RSPd1 right,332
SSp-n1 right,VISa1 right,10.1666666666667
SSp-n1 right,MOB right,28.1666666666667
SSp-bfd1 left,MOp1 left,1509.5
SSp-bfd1 left,MOs1 left,1564.66666666667
SSp-bfd1 left,SSp-n1 left,152.666666666667
SSp-bfd1 left,SSp-bfd1 left,93.5
SSp-bfd1 left,SSp-ll1 left,284.666666666667
SSp-bfd1 left,SSp-m1 left,587.166666666667
SSp-bfd1 left,SSp-ul1 left,325.5
SSp-bfd1 left,SSp-tr1 left,236.833333333333
SSp-bfd1 left,SSp-un1 left,25.1666666666667
SSp-bfd1 left,SSs1 left,0.5
SSp-bfd1 left,VISal1 left,31.8333333333333
SSp-bfd1 left,VISam1 left,609.333333333333
SSp-bfd1 left,VISp1 left,1087.33333333333
SSp-bfd1 left,VISpm1 left,1386
SSp-bfd1 left,RSPagl1 left,3228.33333333333
SSp-bfd1 left,RSPd1 left,5151
SSp-bfd1 left,VISa1 left,256
SSp-bfd1 left,VISrl1 left,18.8333333333333
SSp-bfd1 left,MOB left,112.666666666667
SSp-bfd1 right,MOp1 right,553.333333333333
SSp-bfd1 right,MOs1 right,535.666666666667
SSp-bfd1 right,SSp-n1 right,30.1666666666667
SSp-bfd1 right,SSp-bfd1 right,22.6666666666667
SSp-bfd1 right,SSp-ll1 right,155.5
SSp-bfd1 right,SSp-m1 right,205.5
SSp-bfd1 right,SSp-ul1 right,129.166666666667
SSp-bfd1 right,SSp-tr1 right,74.6666666666667
SSp-bfd1 right,SSp-un1 right,2.5
SSp-bfd1 right,SSs1 right,17.8333333333333
SSp-bfd1 right,VISal1 right,29.6666666666667
SSp-bfd1 right,VISam1 right,179.833333333333
SSp-bfd1 right,VISp1 right,314.5
SSp-bfd1 right,VISpm1 right,486.5
SSp-bfd1 right,RSPagl1 right,1302.16666666667
SSp-bfd1 right,RSPd1 right,1979.66666666667
SSp-bfd1 right,VISa1 right,61
SSp-bfd1 right,VISrl1 right,4.66666666666667
SSp-bfd1 right,MOB right,84.5
SSp-ll1 left,MOp1 left,51.5
SSp-ll1 left,MOs1 left,71.3333333333333
SSp-ll1 left,SSp-n1 left,15.8333333333333
SSp-ll1 left,SSp-bfd1 left,48.3333333333333
SSp-ll1 left,SSp-ll1 left,95.1666666666667
SSp-ll1 left,SSp-m1 left,11.5
SSp-ll1 left,SSp-ul1 left,10.3333333333333
SSp-ll1 left,SSp-tr1 left,45.3333333333333
SSp-ll1 left,SSp-un1 left,2.66666666666667
SSp-ll1 left,SSs1 left,3.33333333333333
SSp-ll1 left,VISal1 left,12.1666666666667
SSp-ll1 left,VISam1 left,54
SSp-ll1 left,VISp1 left,325.5
SSp-ll1 left,VISpm1 left,119.666666666667
SSp-ll1 left,RSPagl1 left,179
SSp-ll1 left,RSPd1 left,230.333333333333
SSp-ll1 left,VISa1 left,47.5
SSp-ll1 left,VISrl1 left,24.5
SSp-ll1 left,MOB left,1.33333333333333
SSp-ll1 right,MOp1 right,32.5
SSp-ll1 right,MOs1 right,15
SSp-ll1 right,SSp-n1 right,2.83333333333333
SSp-ll1 right,SSp-bfd1 right,9.5
SSp-ll1 right,SSp-ll1 right,34.3333333333333
SSp-ll1 right,SSp-m1 right,13.1666666666667
SSp-ll1 right,SSp-ul1 right,36.8333333333333
SSp-ll1 right,SSp-tr1 right,3.66666666666667
SSp-ll1 right,SSp-un1 right,8.33333333333333
SSp-ll1 right,SSs1 right,0.333333333333333
SSp-ll1 right,VISal1 right,2.66666666666667
SSp-ll1 right,VISam1 right,5.33333333333333
SSp-ll1 right,VISp1 right,46.3333333333333
SSp-ll1 right,VISpm1 right,16.1666666666667
SSp-ll1 right,RSPagl1 right,28.5
SSp-ll1 right,RSPd1 right,57.8333333333333
SSp-ll1 right,VISrl1 right,2.16666666666667
SSp-ll1 right,MOB right,9
SSp-m1 left,MOp1 left,110.833333333333
SSp-m1 left,MOs1 left,95.1666666666667
SSp-m1 left,SSp-n1 left,36.6666666666667
SSp-m1 left,SSp-bfd1 left,8.83333333333333
SSp-m1 left,SSp-ll1 left,4.83333333333333
SSp-m1 left,SSp-m1 left,94.8333333333333
SSp-m1 left,SSp-ul1 left,9.5
SSp-m1 left,SSp-un1 left,5.33333333333333
SSp-m1 left,VISal1 left,1
SSp-m1 left,VISam1 left,6.5
SSp-m1 left,VISp1 left,109.166666666667
SSp-m1 left,VISpm1 left,59.6666666666667
SSp-m1 left,RSPagl1 left,88.8333333333333
SSp-m1 left,RSPd1 left,129.666666666667
SSp-m1 left,MOB left,4.33333333333333
SSp-m1 right,MOp1 right,33.6666666666667
SSp-m1 right,MOs1 right,15.5
SSp-m1 right,SSp-n1 right,0.666666666666667
SSp-m1 right,SSp-bfd1 right,9.83333333333333
SSp-m1 right,SSp-ll1 right,52.3333333333333
SSp-m1 right,SSp-m1 right,17.5
SSp-m1 right,SSp-ul1 right,21.1666666666667
SSp-m1 right,SSp-tr1 right,33.6666666666667
SSp-m1 right,SSp-un1 right,4.16666666666667
SSp-m1 right,SSs1 right,0.333333333333333
SSp-m1 right,VISal1 right,0.666666666666667
SSp-m1 right,VISam1 right,30
SSp-m1 right,VISp1 right,127.5
SSp-m1 right,VISpm1 right,86
SSp-m1 right,RSPagl1 right,167.166666666667
SSp-m1 right,RSPd1 right,276.166666666667
SSp-m1 right,VISa1 right,34.3333333333333
SSp-m1 right,VISrl1 right,1.83333333333333
SSp-m1 right,MOB right,10.5
SSp-ul1 left,MOp1 left,268
SSp-ul1 left,MOs1 left,234.333333333333
SSp-ul1 left,SSp-n1 left,37.3333333333333
SSp-ul1 left,SSp-bfd1 left,42.5
SSp-ul1 left,SSp-ll1 left,95.1666666666667
SSp-ul1 left,SSp-m1 left,84
SSp-ul1 left,SSp-ul1 left,125
SSp-ul1 left,SSp-tr1 left,60.1666666666667
SSp-ul1 left,SSp-un1 left,13.3333333333333
SSp-ul1 left,SSs1 left,4.16666666666667
SSp-ul1 left,VISal1 left,10
SSp-ul1 left,VISam1 left,124.5
SSp-ul1 left,VISp1 left,477.833333333333
SSp-ul1 left,VISpm1 left,313
SSp-ul1 left,RSPagl1 left,528.166666666667
SSp-ul1 left,RSPd1 left,744
SSp-ul1 left,VISa1 left,48.3333333333333
SSp-ul1 left,VISrl1 left,0.5
SSp-ul1 left,MOB left,4.83333333333333
SSp-ul1 right,MOp1 right,362
SSp-ul1 right,MOs1 right,263.666666666667
SSp-ul1 right,SSp-n1 right,28.3333333333333
SSp-ul1 right,SSp-bfd1 right,9.66666666666667
SSp-ul1 right,SSp-ll1 right,162.333333333333
SSp-ul1 right,SSp-m1 right,114.5
SSp-ul1 right,SSp-ul1 right,144.833333333333
SSp-ul1 right,SSp-tr1 right,76.5
SSp-ul1 right,SSp-un1 right,11.1666666666667
SSp-ul1 right,SSs1 right,22.3333333333333
SSp-ul1 right,VISal1 right,31
SSp-ul1 right,VISam1 right,122.666666666667
SSp-ul1 right,VISp1 right,481
SSp-ul1 right,VISpm1 right,420.833333333333
SSp-ul1 right,RSPagl1 right,1092.33333333333
SSp-ul1 right,RSPd1 right,1786.66666666667
SSp-ul1 right,VISa1 right,57.5
SSp-ul1 right,VISrl1 right,10.3333333333333
SSp-ul1 right,MOB right,45.1666666666667
SSp-tr1 left,MOp1 left,13
SSp-tr1 left,MOs1 left,0.5
SSp-tr1 left,SSp-ll1 left,12.6666666666667
SSp-tr1 left,SSp-m1 left,7.66666666666667
SSp-tr1 left,VISal1 left,7.5
SSp-tr1 left,VISam1 left,6.66666666666667
SSp-tr1 left,VISp1 left,52.8333333333333
SSp-tr1 left,VISpm1 left,19.3333333333333
SSp-tr1 left,RSPagl1 left,46.1666666666667
SSp-tr1 left,RSPd1 left,88.6666666666667
SSp-tr1 left,VISrl1 left,0.166666666666667
SSp-tr1 right,MOp1 right,11.5
SSp-tr1 right,MOs1 right,2
SSp-tr1 right,SSp-ll1 right,7.33333333333333
SSp-tr1 right,SSp-m1 right,0.666666666666667
SSp-tr1 right,SSp-tr1 right,0.666666666666667
SSp-tr1 right,VISal1 right,0.333333333333333
SSp-tr1 right,VISp1 right,2
SSp-tr1 right,RSPagl1 right,3.5
SSp-tr1 right,RSPd1 right,5.16666666666667
SSp-tr1 right,MOB right,0.333333333333333
SSp-un1 left,MOp1 left,122.333333333333
SSp-un1 left,MOs1 left,135.333333333333
SSp-un1 left,SSp-bfd1 left,0.333333333333333
SSp-un1 left,SSp-m1 left,45.3333333333333
SSp-un1 left,SSp-ul1 left,3.66666666666667
SSp-un1 left,SSp-un1 left,1.5
SSp-un1 left,VISam1 left,28.6666666666667
SSp-un1 left,VISp1 left,73.6666666666667
SSp-un1 left,VISpm1 left,78
SSp-un1 left,RSPagl1 left,148.333333333333
SSp-un1 left,RSPd1 left,207.833333333333
SSp-un1 left,VISa1 left,2.16666666666667
SSp-un1 left,MOB left,19
SSp-un1 right,MOp1 right,134.833333333333
SSp-un1 right,MOs1 right,135.166666666667
SSp-un1 right,SSp-n1 right,10.6666666666667
SSp-un1 right,SSp-bfd1 right,13.5
SSp-un1 right,SSp-ll1 right,4.33333333333333
SSp-un1 right,SSp-m1 right,51.1666666666667
SSp-un1 right,SSp-ul1 right,37.3333333333333
SSp-un1 right,SSp-tr1 right,5.66666666666667
SSp-un1 right,SSp-un1 right,18.6666666666667
SSp-un1 right,SSs1 right,1
SSp-un1 right,VISal1 right,7
SSp-un1 right,VISam1 right,31.8333333333333
SSp-un1 right,VISp1 right,117.166666666667
SSp-un1 right,VISpm1 right,116
SSp-un1 right,RSPagl1 right,280.833333333333
SSp-un1 right,RSPd1 right,408.5
SSp-un1 right,VISa1 right,8
SSp-un1 right,VISrl1 right,0.833333333333333
SSp-un1 right,MOB right,24
SSs1 right,MOp1 right,0.166666666666667
SSs1 right,SSp-n1 right,0.166666666666667
SSs1 right,SSp-m1 right,1.66666666666667
SSs1 right,SSs1 right,1.66666666666667
SSs1 right,VISal1 right,1
SSs1 right,VISp1 right,5
SSs1 right,VISpm1 right,4.5
SSs1 right,RSPagl1 right,10.1666666666667
SSs1 right,RSPd1 right,11.5
SSs1 right,MOB right,1.16666666666667
VISal1 left,MOs1 left,2.83333333333333
VISal1 left,VISp1 left,0.333333333333333
VISal1 left,RSPagl1 left,0.833333333333333
VISal1 left,RSPd1 left,21.1666666666667
VISal1 left,MOB left,6.5
VISal1 right,SSs1 right,0.5
VISal1 right,VISal1 right,0.833333333333333
VISal1 right,VISp1 right,2.16666666666667
VISal1 right,RSPagl1 right,3
VISal1 right,RSPd1 right,0.166666666666667
VISam1 left,MOp1 left,4.16666666666667
VISam1 left,SSp-bfd1 left,0.333333333333333
VISam1 left,SSp-ll1 left,43.8333333333333
VISam1 left,SSp-ul1 left,9.33333333333333
VISam1 left,SSp-tr1 left,7.5
VISam1 left,VISal1 left,7.83333333333333
VISam1 left,VISp1 left,70.8333333333333
VISam1 left,RSPd1 left,1
VISam1 left,VISrl1 left,1
VISam1 left,MOB left,0.333333333333333
VISam1 right,MOp1 right,6.66666666666667
VISam1 right,MOs1 right,1.83333333333333
VISam1 right,SSp-n1 right,1.5
VISam1 right,SSp-bfd1 right,2.33333333333333
VISam1 right,SSp-ll1 right,14
VISam1 right,SSp-m1 right,1.16666666666667
VISam1 right,SSp-ul1 right,0.833333333333333
VISam1 right,SSp-tr1 right,17
VISam1 right,SSp-un1 right,0.166666666666667
VISam1 right,VISal1 right,0.333333333333333
VISam1 right,VISam1 right,1.83333333333333
VISam1 right,VISp1 right,2.5
VISam1 right,VISpm1 right,0.666666666666667
VISam1 right,RSPagl1 right,11.6666666666667
VISam1 right,RSPd1 right,16
VISam1 right,VISa1 right,16.5
VISp1 left,MOp1 left,42
VISp1 left,MOs1 left,102.5
VISp1 left,SSp-n1 left,34.1666666666667
VISp1 left,SSp-bfd1 left,36.6666666666667
VISp1 left,SSp-ll1 left,31.6666666666667
VISp1 left,SSp-m1 left,23.3333333333333
VISp1 left,SSp-ul1 left,0.833333333333333
VISp1 left,SSp-tr1 left,26.5
VISp1 left,SSp-un1 left,4.66666666666667
VISp1 left,SSs1 left,4.66666666666667
VISp1 left,VISal1 left,67.1666666666667
VISp1 left,VISam1 left,72.8333333333333
VISp1 left,VISp1 left,621.5
VISp1 left,VISpm1 left,155.833333333333
VISp1 left,RSPagl1 left,254.5
VISp1 left,RSPd1 left,387.666666666667
VISp1 left,VISa1 left,35.6666666666667
VISp1 left,VISrl1 left,68.1666666666667
VISp1 left,MOB left,11.8333333333333
VISp1 right,MOp1 right,76
VISp1 right,MOs1 right,106.833333333333
VISp1 right,SSp-n1 right,20.8333333333333
VISp1 right,SSp-bfd1 right,19.1666666666667
VISp1 right,SSp-ll1 right,60.5
VISp1 right,SSp-m1 right,24.1666666666667
VISp1 right,SSp-ul1 right,47.6666666666667
VISp1 right,SSp-tr1 right,24.5
VISp1 right,SSp-un1 right,9
VISp1 right,SSs1 right,1.5
VISp1 right,VISal1 right,30
VISp1 right,VISam1 right,30.3333333333333
VISp1 right,VISp1 right,231.5
VISp1 right,VISpm1 right,80
VISp1 right,RSPagl1 right,126.666666666667
VISp1 right,RSPd1 right,209.833333333333
VISp1 right,VISa1 right,15.3333333333333
VISp1 right,VISrl1 right,10.5
VISp1 right,MOB right,27.1666666666667
VISpm1 left,MOp1 left,9.16666666666667
VISpm1 left,SSp-bfd1 left,9.66666666666667
VISpm1 left,SSp-ll1 left,35.8333333333333
VISpm1 left,SSp-ul1 left,32
VISpm1 left,SSp-tr1 left,12.5
VISpm1 left,SSp-un1 left,1.66666666666667
VISpm1 left,VISal1 left,1
VISpm1 left,VISam1 left,0.333333333333333
VISpm1 left,VISp1 left,100
VISpm1 left,VISpm1 left,10.6666666666667
VISpm1 left,VISrl1 left,0.666666666666667
VISpm1 right,MOp1 right,11.1666666666667
VISpm1 right,MOs1 right,62.1666666666667
VISpm1 right,SSp-n1 right,0.666666666666667
VISpm1 right,SSp-bfd1 right,9
VISpm1 right,SSp-ll1 right,0.166666666666667
VISpm1 right,SSp-tr1 right,9
VISpm1 right,VISal1 right,5.83333333333333
VISpm1 right,VISam1 right,30.3333333333333
VISpm1 right,VISp1 right,90.1666666666667
VISpm1 right,VISpm1 right,46.1666666666667
VISpm1 right,RSPagl1 right,56.1666666666667
VISpm1 right,RSPd1 right,67.6666666666667
VISpm1 right,VISa1 right,26.8333333333333
VISpm1 right,VISrl1 right,11
VISpm1 right,MOB right,0.833333333333333
RSPagl1 left,MOp1 left,29
RSPagl1 left,MOs1 left,17.3333333333333
RSPagl1 left,SSp-n1 left,31
RSPagl1 left,SSp-bfd1 left,32.5
RSPagl1 left,SSp-ll1 left,11
RSPagl1 left,SSp-m1 left,14.5
RSPagl1 left,SSp-ul1 left,7.83333333333333
RSPagl1 left,SSp-un1 left,9
RSPagl1 left,SSs1 left,0.333333333333333
RSPagl1 left,VISam1 left,2.16666666666667
RSPagl1 left,VISp1 left,66.3333333333333
RSPagl1 left,VISpm1 left,22.8333333333333
RSPagl1 left,RSPagl1 left,37.6666666666667
RSPagl1 left,RSPd1 left,30.6666666666667
RSPagl1 right,MOp1 right,1.33333333333333
RSPagl1 right,SSp-bfd1 right,1.5
RSPagl1 right,SSp-ll1 right,10.6666666666667
RSPagl1 right,SSp-m1 right,0.5
RSPagl1 right,SSp-tr1 right,10.6666666666667
RSPagl1 right,VISal1 right,1.33333333333333
RSPagl1 right,VISam1 right,5
RSPagl1 right,VISp1 right,37.8333333333333
RSPagl1 right,VISpm1 right,16
RSPagl1 right,RSPagl1 right,12.1666666666667
