source,target,weight
MOp1 left,MOp1 left,71.643593592929
MOp1 left,MOs1 left,17.2285604044956
MOp1 left,SSp-n1 left,1.11970594534777
MOp1 left,SSp-bfd1 left,0.521207048947227
MOp1 left,SSp-ll1 left,0.41104125062561
MOp1 left,SSp-m1 left,7.1110529213899
MOp1 left,SSp-ul1 left,2.06611397983752
MOp1 left,SSp-tr1 left,0.0778202014608269
MOp1 left,SSp-un1 left,0.170577255456095
MOp1 left,SSs1 left,0.0575368125934578
MOp1 left,VISal1 left,0.0447462315636981
MOp1 left,VISam1 left,0.0355466347243355
MOp1 left,VISp1 left,0.602630398027943
MOp1 left,VISpm1 left,0.00192058636022823
MOp1 left,RSPagl1 left,0.166239887891686
MOp1 left,RSPd1 left,0.578098266036438
MOp1 left,VISa1 left,0.204240121441533
MOp1 left,VISrl1 left,0.126272431882939
MOp1 left,MOB left,1.41697908612241
MOp1 right,MOp1 right,40.6255174719451
MOp1 right,MOs1 right,10.763236730562
MOp1 right,SSp-n1 right,0.343674315320558
MOp1 right,SSp-bfd1 right,0.441719629977198
MOp1 right,SSp-ll1 right,0.576764021297711
MOp1 right,SSp-m1 right,4.72657833043011
MOp1 right,SSp-ul1 right,1.18708544131295
MOp1 right,SSp-tr1 right,0.167497871531189
MOp1 right,SSp-un1 right,0.0888550548769586
MOp1 right,SSs1 right,0.183087068128749
MOp1 right,VISal1 right,0.198927466117533
MOp1 right,VISam1 right,0.0107606394971246
MOp1 right,VISp1 right,0.371492369797298
MOp1 right,VISpm1 right,0.0331136384219128
MOp1 right,RSPagl1 right,0.203816882967622
MOp1 right,RSPd1 right,0.610983433611872
MOp1 right,VISa1 right,0.0161844312964334
MOp1 right,VISrl1 right,0.0313596100112954
MOp1 right,MOB right,0.916597049919445
MOs1 left,MOp1 left,12.7564262088687
MOs1 left,MOs1 left,132.996771383588
MOs1 left,SSp-n1 left,0.440789806021393
MOs1 left,SSp-bfd1 left,0.535214807833863
MOs1 left,SSp-ll1 left,1.05432178333407
MOs1 left,SSp-m1 left,2.19717102943544
MOs1 left,SSp-ul1 left,1.09904459382128
MOs1 left,SSp-tr1 left,0.293635188706204
MOs1 left,SSp-un1 left,0.129573067237783
MOs1 left,SSs1 left,0.0356147135980716
MOs1 left,VISal1 left,0.0292288828584136
MOs1 left,VISam1 left,0.105946438546422
MOs1 left,VISp1 left,0.690682963445637
MOs1 left,VISpm1 left,0.137562302434257
MOs1 left,RSPagl1 left,0.330636640093292
MOs1 left,RSPd1 left,1.3939644500012
MOs1 left,VISa1 left,0.0958041933284781
MOs1 left,VISrl1 left,0.0626508567494421
MOs1 left,MOB left,6.61422425340079
MOs1 right,MOp1 right,8.99918047190381
MOs1 right,MOs1 right,112.451361021761
MOs1 right,SSp-n1 right,0.22790858446362
