source,target,weight
MOp1 left,MOp1 left,2527.83333333333
MOp1 left,MOs1 left,2688.5
MOp1 left,SSp-n1 left,211.833333333333
MOp1 left,SSp-bfd1 left,119.833333333333
MOp1 left,SSp-ll1 left,69.5
MOp1 left,SSp-m1 left,799.5
MOp1 left,SSp-ul1 left,323.833333333333
MOp1 left,SSp-tr1 left,17
MOp1 left,SSp-un1 left,43.8333333333333
MOp1 left,SSs1 left,14.5
MOp1 left,VISal1 left,6
MOp1 left,VISam1 left,5.83333333333333
MOp1 left,VISp1 left,61.5
MOp1 left,VISpm1 left,3
MOp1 left,RSPagl1 left,52.6666666666667
MOp1 left,RSPd1 left,89.1666666666667
MOp1 left,VISa1 left,22.5
MOp1 left,VISrl1 left,22.5
MOp1 left,MOB left,180.166666666667
MOp1 right,MOp1 right,1041.83333333333
MOp1 right,MOs1 right,980
MOp1 right,SSp-n1 right,45.1666666666667
MOp1 right,SSp-bfd1 right,23.1666666666667
MOp1 right,SSp-ll1 right,50
MOp1 right,SSp-m1 right,363
MOp1 right,SSp-ul1 right,93.5
MOp1 right,SSp-tr1 right,37.3333333333333
MOp1 right,SSp-un1 right,9
MOp1 right,SSs1 right,3.33333333333333
MOp1 right,VISal1 right,4.66666666666667
MOp1 right,VISam1 right,3.66666666666667
MOp1 right,VISp1 right,62.8333333333333
MOp1 right,VISpm1 right,11.3333333333333
MOp1 right,RSPagl1 right,42.8333333333333
MOp1 right,RSPd1 right,106.5
MOp1 right,VISa1 right,6.83333333333333
MOp1 right,VISrl1 right,8.33333333333333
MOp1 right,MOB right,68.3333333333333
MOs1 left,MOp1 left,2254.83333333333
MOs1 left,MOs1 left,9372.83333333333
MOs1 left,SSp-n1 left,99.3333333333333
MOs1 left,SSp-bfd1 left,201.166666666667
MOs1 left,SSp-ll1 left,175
MOs1 left,SSp-m1 left,375.833333333333
MOs1 left,SSp-ul1 left,261.666666666667
MOs1 left,SSp-tr1 left,96.8333333333333
MOs1 left,SSp-un1 left,50.1666666666667
MOs1 left,SSs1 left,15.8333333333333
MOs1 left,VISal1 left,16.6666666666667
MOs1 left,VISam1 left,32.6666666666667
MOs1 left,VISp1 left,212.5
MOs1 left,VISpm1 left,38
MOs1 left,RSPagl1 left,87
MOs1 left,RSPd1 left,151.5
MOs1 left,VISa1 left,74.5
MOs1 left,VISrl1 left,39.1666666666667
MOs1 left,MOB left,759.5
MOs1 right,MOp1 right,1136.83333333333
MOs1 right,MOs1 right,4740
MOs1 right,SSp-n1 right,25.5
MOs1 right,SSp-bfd1 right,17.6666666666667
MOs1 right,SSp-ll1 right,48.8333333333333
MOs1 right,SSp-m1 right,154
MOs1 right,SSp-ul1 right,150.166666666667
MOs1 right,SSp-tr1 right,37.6666666666667
MOs1 right,SSp-un1 right,18.6666666666667
MOs1 right,SSs1 right,2.5
MOs1 right,VISal1 right,1.33333333333333
MOs1 right,VISam1 right,4.33333333333333
MOs1 right,VISp1 right,67.8333333333333
MOs1 right,VISpm1 right,19.1666666666667
MOs1 right,RSPagl1 right,53.1666666666667
MOs1 right,RSPd1 right,88.5
MOs1 right,VISa1 right,8.33333333333333
MOs1 right,VISrl1 right,1.66666666666667
MOs1 right,MOB right,300.333333333333
SSp-n1 left,MOp1 left,365
SSp-n1 left,MOs1 left,374.666666666667
SSp-n1 left,SSp-n1 left,815.666666666667
SSp-n1 left,SSp-bfd1 left,157.833333333333
SSp-n1 left,SSp-ll1 left,51
SSp-n1 left,SSp-m1 left,315
SSp-n1 left,SSp-ul1 left,102.833333333333
SSp-n1 left,SSp-tr1 left,22
SSp-n1 left,SSp-un1 left,46.5
SSp-n1 left,SSs1 left,3.83333333333333
SSp-n1 left,VISal1 left,0.833333333333333
SSp-n1 left,VISam1 left,0.166666666666667
SSp-n1 left,VISp1 left,10.3333333333333
SSp-n1 left,RSPagl1 left,10.8333333333333
SSp-n1 left,RSPd1 left,31
SSp-n1 left,VISa1 left,1
SSp-n1 left,MOB left,24
SSp-n1 right,MOp1 right,92.5
SSp-n1 right,MOs1 right,121
SSp-n1 right,SSp-n1 right,385.5
SSp-n1 right,SSp-bfd1 right,175.333333333333
SSp-n1 right,SSp-ll1 right,1.33333333333333
SSp-n1 right,SSp-m1 right,176.5
SSp-n1 right,SSp-ul1 right,5.33333333333333
SSp-n1 right,SSp-tr1 right,2.66666666666667
SSp-n1 right,SSp-un1 right,8.16666666666667
SSp-n1 right,SSs1 right,14
SSp-n1 right,VISal1 right,5.66666666666667
SSp-n1 right,VISam1 right,11
SSp-n1 right,VISp1 right,53.8333333333333
SSp-n1 right,VISpm1 right,17.6666666666667
SSp-n1 right,RSPagl1 right,19
SSp-n1 right,RSPd1 right,25
SSp-n1 right,VISa1 right,4
SSp-n1 right,VISrl1 right,5.66666666666667
SSp-n1 right,MOB right,12.5
SSp-bfd1 left,MOp1 left,161.166666666667
SSp-bfd1 left,MOs1 left,304.833333333333
SSp-bfd1 left,SSp-n1 left,413.166666666667
SSp-bfd1 left,SSp-bfd1 left,1683.5
SSp-bfd1 left,SSp-ll1 left,99.6666666666667
SSp-bfd1 left,SSp-m1 left,130.833333333333
SSp-bfd1 left,SSp-ul1 left,178.333333333333
SSp-bfd1 left,SSp-tr1 left,71.3333333333333
SSp-bfd1 left,SSp-un1 left,114.166666666667
SSp-bfd1 left,SSs1 left,94
SSp-bfd1 left,VISal1 left,20.6666666666667
SSp-bfd1 left,VISam1 left,0.166666666666667
SSp-bfd1 left,VISp1 left,65.6666666666667
SSp-bfd1 left,VISpm1 left,5.66666666666667
SSp-bfd1 left,RSPagl1 left,15
SSp-bfd1 left,RSPd1 left,16.8333333333333
SSp-bfd1 left,VISa1 left,50.1666666666667
SSp-bfd1 left,VISrl1 left,39.5
SSp-bfd1 left,MOB left,25
SSp-bfd1 right,MOp1 right,165.166666666667
SSp-bfd1 right,MOs1 right,240
SSp-bfd1 right,SSp-n1 right,126.833333333333
SSp-bfd1 right,SSp-bfd1 right,513.5
SSp-bfd1 right,SSp-ll1 right,65.5
SSp-bfd1 right,SSp-m1 right,52
SSp-bfd1 right,SSp-ul1 right,73.5
SSp-bfd1 right,SSp-tr1 right,57.5
SSp-bfd1 right,SSp-un1 right,31.6666666666667
SSp-bfd1 right,SSs1 right,30
SSp-bfd1 right,VISal1 right,12.8333333333333
SSp-bfd1 right,VISam1 right,14.6666666666667
SSp-bfd1 right,VISp1 right,80.5
SSp-bfd1 right,VISpm1 right,22.8333333333333
SSp-bfd1 right,RSPagl1 right,65.5
SSp-bfd1 right,RSPd1 right,87.1666666666667
SSp-bfd1 right,VISa1 right,62.8333333333333
SSp-bfd1 right,VISrl1 right,24.8333333333333
SSp-bfd1 right,MOB right,7.33333333333333
SSp-ll1 left,MOp1 left,372.5
SSp-ll1 left,MOs1 left,360.166666666667
SSp-ll1 left,SSp-n1 left,63
SSp-ll1 left,SSp-bfd1 left,176.166666666667
SSp-ll1 left,SSp-ll1 left,534.166666666667
SSp-ll1 left,SSp-m1 left,80.6666666666667
SSp-ll1 left,SSp-ul1 left,335.5
SSp-ll1 left,SSp-tr1 left,154.5
SSp-ll1 left,SSp-un1 left,56.3333333333333
SSp-ll1 left,SSs1 left,8
SSp-ll1 left,VISal1 left,0.833333333333333
SSp-ll1 left,VISam1 left,40.3333333333333
SSp-ll1 left,VISp1 left,28
SSp-ll1 left,VISpm1 left,32.3333333333333
SSp-ll1 left,RSPagl1 left,74.5
SSp-ll1 left,RSPd1 left,78
SSp-ll1 left,VISa1 left,86.1666666666667
SSp-ll1 left,VISrl1 left,10.6666666666667
SSp-ll1 left,MOB left,27.1666666666667
SSp-ll1 right,MOp1 right,208.333333333333
SSp-ll1 right,MOs1 right,210.666666666667
SSp-ll1 right,SSp-n1 right,19.5
SSp-ll1 right,SSp-bfd1 right,55.8333333333333
SSp-ll1 right,SSp-ll1 right,286.5
SSp-ll1 right,SSp-m1 right,42.6666666666667
SSp-ll1 right,SSp-ul1 right,200.5
SSp-ll1 right,SSp-tr1 right,56
SSp-ll1 right,SSp-un1 right,27.5
SSp-ll1 right,SSs1 right,8.5
SSp-ll1 right,VISal1 right,10
SSp-ll1 right,VISam1 right,16.5
SSp-ll1 right,VISp1 right,85.8333333333333
SSp-ll1 right,VISpm1 right,37
SSp-ll1 right,RSPagl1 right,45.5
SSp-ll1 right,RSPd1 right,78.1666666666667
SSp-ll1 right,VISa1 right,12
SSp-ll1 right,VISrl1 right,12.3333333333333
SSp-ll1 right,MOB right,33.6666666666667
SSp-m1 left,MOp1 left,675.333333333333
SSp-m1 left,MOs1 left,612.833333333333
SSp-m1 left,SSp-n1 left,143.833333333333
SSp-m1 left,SSp-bfd1 left,56.1666666666667
SSp-m1 left,SSp-ll1 left,54.8333333333333
SSp-m1 left,SSp-m1 left,749
SSp-m1 left,SSp-ul1 left,215
SSp-m1 left,SSp-tr1 left,21.1666666666667
SSp-m1 left,SSp-un1 left,31
SSp-m1 left,SSs1 left,5
SSp-m1 left,VISam1 left,4.66666666666667
SSp-m1 left,VISp1 left,21.1666666666667
SSp-m1 left,VISpm1 left,10.5
SSp-m1 left,RSPagl1 left,43.1666666666667
SSp-m1 left,RSPd1 left,76.1666666666667
SSp-m1 left,VISa1 left,7.5
SSp-m1 left,VISrl1 left,0.5
SSp-m1 left,MOB left,40.1666666666667
SSp-m1 right,MOp1 right,383.833333333333
SSp-m1 right,MOs1 right,224.5
SSp-m1 right,SSp-n1 right,83.8333333333333
SSp-m1 right,SSp-bfd1 right,20.1666666666667
SSp-m1 right,SSp-ll1 right,18.6666666666667
SSp-m1 right,SSp-m1 right,464.666666666667
SSp-m1 right,SSp-ul1 right,65.5
SSp-m1 right,SSp-tr1 right,6.16666666666667
SSp-m1 right,SSp-un1 right,16.8333333333333
SSp-m1 right,SSs1 right,1.16666666666667
SSp-m1 right,VISal1 right,0.166666666666667
SSp-m1 right,VISam1 right,6.66666666666667
SSp-m1 right,VISp1 right,15.1666666666667
SSp-m1 right,VISpm1 right,6.83333333333333
SSp-m1 right,RSPagl1 right,7.16666666666667
SSp-m1 right,RSPd1 right,11.5
SSp-m1 right,VISa1 right,15.1666666666667
SSp-m1 right,VISrl1 right,2.5
SSp-m1 right,MOB right,9
SSp-ul1 left,MOp1 left,640.666666666667
SSp-ul1 left,MOs1 left,468.333333333333
SSp-ul1 left,SSp-n1 left,135.833333333333
SSp-ul1 left,SSp-bfd1 left,139.166666666667
SSp-ul1 left,SSp-ll1 left,126.833333333333
SSp-ul1 left,SSp-m1 left,358.5
SSp-ul1 left,SSp-ul1 left,759.5
SSp-ul1 left,SSp-tr1 left,39.6666666666667
SSp-ul1 left,SSp-un1 left,112.166666666667
SSp-ul1 left,SSs1 left,3.66666666666667
SSp-ul1 left,VISal1 left,1
SSp-ul1 left,VISam1 left,5.66666666666667
SSp-ul1 left,VISp1 left,40.1666666666667
SSp-ul1 left,VISpm1 left,4.16666666666667
SSp-ul1 left,RSPagl1 left,36.1666666666667
SSp-ul1 left,RSPd1 left,72.8333333333333
SSp-ul1 left,VISa1 left,22.3333333333333
SSp-ul1 left,VISrl1 left,7.16666666666667
SSp-ul1 left,MOB left,37
SSp-ul1 right,MOp1 right,294.166666666667
SSp-ul1 right,MOs1 right,286.833333333333
SSp-ul1 right,SSp-n1 right,20
SSp-ul1 right,SSp-bfd1 right,19.5
SSp-ul1 right,SSp-ll1 right,90.8333333333333
SSp-ul1 right,SSp-m1 right,107.666666666667
SSp-ul1 right,SSp-ul1 right,305.5
SSp-ul1 right,SSp-tr1 right,7.66666666666667
SSp-ul1 right,SSp-un1 right,30.8333333333333
SSp-ul1 right,SSs1 right,0.833333333333333
SSp-ul1 right,VISal1 right,1
SSp-ul1 right,VISp1 right,10.3333333333333
SSp-ul1 right,VISpm1 right,0.833333333333333
SSp-ul1 right,RSPagl1 right,5.83333333333333
SSp-ul1 right,RSPd1 right,4.16666666666667
SSp-ul1 right,VISrl1 right,0.5
SSp-ul1 right,MOB right,29.3333333333333
SSp-tr1 left,MOp1 left,74.6666666666667
SSp-tr1 left,MOs1 left,46.8333333333333
SSp-tr1 left,SSp-n1 left,11.6666666666667
SSp-tr1 left,SSp-bfd1 left,5.66666666666667
SSp-tr1 left,SSp-ll1 left,86.5
SSp-tr1 left,SSp-m1 left,18.5
SSp-tr1 left,SSp-ul1 left,38.8333333333333
SSp-tr1 left,SSp-tr1 left,106.833333333333
SSp-tr1 left,SSp-un1 left,10
SSp-tr1 left,SSs1 left,0.333333333333333
SSp-tr1 left,VISam1 left,22.8333333333333
SSp-tr1 left,VISp1 left,36.5
SSp-tr1 left,VISpm1 left,13.5
SSp-tr1 left,RSPagl1 left,53
SSp-tr1 left,RSPd1 left,74.6666666666667
SSp-tr1 left,VISa1 left,52.3333333333333
SSp-tr1 left,VISrl1 left,0.166666666666667
SSp-tr1 left,MOB left,5
SSp-tr1 right,MOp1 right,121.333333333333
SSp-tr1 right,MOs1 right,242.166666666667
SSp-tr1 right,SSp-n1 right,2.66666666666667
SSp-tr1 right,SSp-bfd1 right,15.8333333333333
SSp-tr1 right,SSp-ll1 right,43.1666666666667
SSp-tr1 right,SSp-m1 right,2.66666666666667
SSp-tr1 right,SSp-ul1 right,14.1666666666667
SSp-tr1 right,SSp-tr1 right,82.6666666666667
SSp-tr1 right,SSp-un1 right,2
SSp-tr1 right,SSs1 right,0.666666666666667
SSp-tr1 right,VISam1 right,11.8333333333333
SSp-tr1 right,VISp1 right,8
SSp-tr1 right,VISpm1 right,16.3333333333333
SSp-tr1 right,RSPagl1 right,66.5
SSp-tr1 right,RSPd1 right,117
SSp-tr1 right,VISa1 right,29.5
SSp-tr1 right,VISrl1 right,3
SSp-tr1 right,MOB right,10.5
SSp-un1 left,MOp1 left,32.5
SSp-un1 left,MOs1 left,43.5
SSp-un1 left,SSp-n1 left,60.3333333333333
SSp-un1 left,SSp-bfd1 left,76.5
SSp-un1 left,SSp-ll1 left,19.1666666666667
SSp-un1 left,SSp-m1 left,49.5
SSp-un1 left,SSp-ul1 left,91.5
SSp-un1 left,SSp-tr1 left,7.33333333333333
SSp-un1 left,SSp-un1 left,42
SSp-un1 left,SSs1 left,0.333333333333333
SSp-un1 left,RSPd1 left,4.66666666666667
SSp-un1 right,MOp1 right,1.66666666666667
SSp-un1 right,MOs1 right,0.833333333333333
SSp-un1 right,SSp-n1 right,4.83333333333333
SSp-un1 right,SSp-bfd1 right,1
SSp-un1 right,SSp-ll1 right,10.3333333333333
SSp-un1 right,SSp-m1 right,2.83333333333333
SSp-un1 right,SSp-ul1 right,17.6666666666667
SSp-un1 right,SSp-un1 right,7
SSp-un1 right,VISam1 right,1.83333333333333
SSp-un1 right,VISp1 right,0.666666666666667
SSp-un1 right,VISpm1 right,5.83333333333333
SSp-un1 right,RSPagl1 right,2.83333333333333
SSp-un1 right,VISrl1 right,0.166666666666667
SSs1 right,MOp1 right,0.333333333333333
SSs1 right,MOs1 right,0.166666666666667
SSs1 right,SSp-n1 right,3.66666666666667
SSs1 right,SSp-bfd1 right,18.8333333333333
SSs1 right,SSp-ll1 right,0.833333333333333
SSs1 right,SSp-m1 right,3.33333333333333
SSs1 right,SSp-ul1 right,0.333333333333333
SSs1 right,SSp-tr1 right,0.166666666666667
SSs1 right,SSp-un1 right,0.333333333333333
SSs1 right,SSs1 right,32.5
SSs1 right,VISal1 right,1
SSs1 right,VISp1 right,1
SSs1 right,VISa1 right,0.833333333333333
SSs1 right,VISrl1 right,0.333333333333333
SSs1 right,MOB right,0.333333333333333
VISal1 left,MOp1 left,7.16666666666667
VISal1 left,MOs1 left,4.83333333333333
VISal1 left,SSp-n1 left,22.3333333333333
VISal1 left,SSp-bfd1 left,118.666666666667
VISal1 left,SSp-m1 left,6.33333333333333
