source,target,weight
MOp1 left,MOp1 left,7745
MOp1 left,MOs1 left,5696
MOp1 left,SSp-n1 left,332
MOp1 left,SSp-bfd1 left,108
MOp1 left,SSp-ll1 left,14
MOp1 left,SSp-m1 left,1235
MOp1 left,SSp-ul1 left,401
MOp1 left,SSp-tr1 left,22
MOp1 left,SSp-un1 left,32
MOp1 left,VISam1 left,1
MOp1 left,RSPagl1 left,6
MOp1 left,RSPd1 left,37
MOp1 left,VISa1 left,12
MOp1 left,MOB left,131
MOp1 right,MOp1 right,6396
MOp1 right,MOs1 right,5136
MOp1 right,SSp-n1 right,221
MOp1 right,SSp-bfd1 right,342
MOp1 right,SSp-ll1 right,94
MOp1 right,SSp-m1 right,1410
MOp1 right,SSp-ul1 right,460
MOp1 right,SSp-tr1 right,18
MOp1 right,SSp-un1 right,72
MOp1 right,SSs1 right,2
MOp1 right,VISal1 right,4
MOp1 right,VISam1 right,11
MOp1 right,VISp1 right,59
MOp1 right,VISpm1 right,19
MOp1 right,RSPagl1 right,58
MOp1 right,RSPd1 right,5
MOp1 right,VISa1 right,3
MOp1 right,VISrl1 right,1
MOp1 right,MOB right,50
MOs1 left,MOp1 left,5317
MOs1 left,MOs1 left,27109
MOs1 left,SSp-n1 left,324
MOs1 left,SSp-bfd1 left,131
MOs1 left,SSp-m1 left,660
MOs1 left,SSp-ul1 left,294
MOs1 left,SSp-un1 left,53
MOs1 left,VISam1 left,7
MOs1 left,VISp1 left,20
MOs1 left,VISpm1 left,3
MOs1 left,RSPagl1 left,3
MOs1 left,VISrl1 left,2
MOs1 left,MOB left,333
MOs1 right,MOp1 right,3557
MOs1 right,MOs1 right,23583
MOs1 right,SSp-n1 right,188
MOs1 right,SSp-bfd1 right,75
MOs1 right,SSp-ll1 right,7
MOs1 right,SSp-m1 right,605
MOs1 right,SSp-ul1 right,232
MOs1 right,SSp-tr1 right,1
MOs1 right,SSp-un1 right,60
MOs1 right,SSs1 right,1
MOs1 right,RSPagl1 right,27
MOs1 right,RSPd1 right,33
MOs1 right,VISa1 right,1
MOs1 right,MOB right,135
SSp-n1 left,MOp1 left,1312
SSp-n1 left,MOs1 left,2436
SSp-n1 left,SSp-n1 left,8634
SSp-n1 left,SSp-bfd1 left,2300
SSp-n1 left,SSp-ll1 left,1
SSp-n1 left,SSp-m1 left,1873
SSp-n1 left,SSp-ul1 left,187
SSp-n1 left,SSp-un1 left,260
SSp-n1 left,SSs1 left,30
SSp-n1 left,VISp1 left,27
SSp-n1 left,RSPagl1 left,39
SSp-n1 left,RSPd1 left,63
SSp-n1 left,VISa1 left,1
SSp-n1 left,VISrl1 left,3
SSp-n1 left,MOB left,84
SSp-n1 right,MOp1 right,1298
SSp-n1 right,MOs1 right,2051
SSp-n1 right,SSp-n1 right,5363
SSp-n1 right,SSp-bfd1 right,947
SSp-n1 right,SSp-m1 right,2697
SSp-n1 right,SSp-ul1 right,206
SSp-n1 right,SSp-un1 right,237
SSp-n1 right,SSs1 right,21
SSp-n1 right,MOB right,16
SSp-bfd1 left,MOp1 left,843
SSp-bfd1 left,MOs1 left,1347
SSp-bfd1 left,SSp-n1 left,5320
SSp-bfd1 left,SSp-bfd1 left,21977
SSp-bfd1 left,SSp-ll1 left,12
SSp-bfd1 left,SSp-m1 left,893
SSp-bfd1 left,SSp-ul1 left,481
SSp-bfd1 left,SSp-tr1 left,65
SSp-bfd1 left,SSp-un1 left,475
SSp-bfd1 left,SSs1 left,214
SSp-bfd1 left,VISal1 left,24
SSp-bfd1 left,VISam1 left,34
SSp-bfd1 left,VISp1 left,85
SSp-bfd1 left,VISpm1 left,6
SSp-bfd1 left,RSPagl1 left,101
SSp-bfd1 left,RSPd1 left,15
SSp-bfd1 left,VISa1 left,86
SSp-bfd1 left,VISrl1 left,112
SSp-bfd1 left,MOB left,5
SSp-bfd1 right,MOp1 right,647
SSp-bfd1 right,MOs1 right,932
SSp-bfd1 right,SSp-n1 right,2111
SSp-bfd1 right,SSp-bfd1 right,9733
SSp-bfd1 right,SSp-m1 right,430
SSp-bfd1 right,SSp-ul1 right,235
SSp-bfd1 right,SSp-tr1 right,27
SSp-bfd1 right,SSp-un1 right,516
SSp-bfd1 right,SSs1 right,61
SSp-bfd1 right,VISal1 right,10
SSp-bfd1 right,VISam1 right,1
SSp-bfd1 right,VISp1 right,40
SSp-bfd1 right,VISpm1 right,14
SSp-bfd1 right,RSPagl1 right,4
SSp-bfd1 right,RSPd1 right,7
SSp-bfd1 right,VISa1 right,16
SSp-bfd1 right,VISrl1 right,39
SSp-bfd1 right,MOB right,42
SSp-ll1 left,MOp1 left,411
SSp-ll1 left,MOs1 left,423
SSp-ll1 left,SSp-n1 left,4
SSp-ll1 left,SSp-bfd1 left,45
SSp-ll1 left,SSp-ll1 left,705
SSp-ll1 left,SSp-m1 left,48
SSp-ll1 left,SSp-ul1 left,181
SSp-ll1 left,SSp-tr1 left,322
SSp-ll1 left,SSp-un1 left,1
SSp-ll1 left,VISal1 left,1
SSp-ll1 left,VISam1 left,47
SSp-ll1 left,VISp1 left,98
SSp-ll1 left,VISpm1 left,25
SSp-ll1 left,RSPagl1 left,121
SSp-ll1 left,RSPd1 left,82
SSp-ll1 left,VISa1 left,94
SSp-ll1 left,MOB left,7
SSp-ll1 right,MOp1 right,246
SSp-ll1 right,MOs1 right,291
SSp-ll1 right,SSp-n1 right,10
SSp-ll1 right,SSp-bfd1 right,85
SSp-ll1 right,SSp-ll1 right,640
SSp-ll1 right,SSp-m1 right,18
SSp-ll1 right,SSp-ul1 right,133
SSp-ll1 right,SSp-tr1 right,261
SSp-ll1 right,SSp-un1 right,27
SSp-ll1 right,SSs1 right,4
SSp-ll1 right,VISal1 right,19
SSp-ll1 right,VISp1 right,169
SSp-ll1 right,VISpm1 right,53
SSp-ll1 right,RSPagl1 right,180
SSp-ll1 right,RSPd1 right,136
SSp-ll1 right,VISa1 right,10
SSp-ll1 right,MOB right,95
SSp-m1 left,MOp1 left,3360
SSp-m1 left,MOs1 left,4084
SSp-m1 left,SSp-n1 left,1613
SSp-m1 left,SSp-bfd1 left,633
SSp-m1 left,SSp-m1 left,4517
SSp-m1 left,SSp-ul1 left,707
SSp-m1 left,SSp-un1 left,232
SSp-m1 left,SSs1 left,10
SSp-m1 left,VISp1 left,2
SSp-m1 left,RSPd1 left,7
SSp-m1 left,MOB left,173
SSp-m1 right,MOp1 right,3423
SSp-m1 right,MOs1 right,3324
SSp-m1 right,SSp-n1 right,699
SSp-m1 right,SSp-bfd1 right,243
SSp-m1 right,SSp-ll1 right,53
SSp-m1 right,SSp-m1 right,4653
SSp-m1 right,SSp-ul1 right,391
SSp-m1 right,SSp-tr1 right,1
SSp-m1 right,SSp-un1 right,101
SSp-m1 right,SSs1 right,7
SSp-m1 right,VISal1 right,4
SSp-m1 right,VISp1 right,20
SSp-m1 right,RSPagl1 right,15
SSp-m1 right,RSPd1 right,51
SSp-m1 right,VISa1 right,1
SSp-m1 right,MOB right,87
SSp-ul1 left,MOp1 left,1273
SSp-ul1 left,MOs1 left,1289
SSp-ul1 left,SSp-n1 left,173
SSp-ul1 left,SSp-bfd1 left,292
SSp-ul1 left,SSp-ll1 left,56
SSp-ul1 left,SSp-m1 left,759
SSp-ul1 left,SSp-ul1 left,1413
SSp-ul1 left,SSp-tr1 left,3
SSp-ul1 left,SSp-un1 left,112
SSp-ul1 left,VISp1 left,43
SSp-ul1 left,VISpm1 left,2
SSp-ul1 left,MOB left,43
SSp-ul1 right,MOp1 right,480
SSp-ul1 right,MOs1 right,402
SSp-ul1 right,SSp-n1 right,58
SSp-ul1 right,SSp-bfd1 right,52
SSp-ul1 right,SSp-ll1 right,49
SSp-ul1 right,SSp-m1 right,229
SSp-ul1 right,SSp-ul1 right,574
SSp-ul1 right,SSp-tr1 right,34
SSp-ul1 right,SSp-un1 right,35
SSp-ul1 right,SSs1 right,1
SSp-ul1 right,VISal1 right,1
