source,target,weight
MOp1 left,MOp1 left,166.367739192476
MOp1 left,MOs1 left,24.7700000036498
MOp1 left,SSp-n1 left,2.14967140665229
MOp1 left,SSp-bfd1 left,0.238244810957758
MOp1 left,SSp-ll1 left,3.83761996296001
MOp1 left,SSp-m1 left,20.2544963133005
MOp1 left,SSp-ul1 left,8.20266595214592
MOp1 left,SSp-tr1 left,0.121224429010465
MOp1 left,SSp-un1 left,0.279497418318597
MOp1 left,SSs1 left,0.124465820067058
MOp1 left,VISp1 left,0.642857142857143
MOp1 left,VISpm1 left,0.0816326530612245
MOp1 left,RSPagl1 left,0.571282019208642
MOp1 left,RSPd1 left,0.291462686567164
MOp1 left,VISa1 left,0.0204081632653061
MOp1 left,MOB left,1.82028436249042
MOp1 right,MOp1 right,247.362099837568
MOp1 right,MOs1 right,28.6482488509946
MOp1 right,SSp-n1 right,2.03668566799547
MOp1 right,SSp-bfd1 right,0.450487686482679
MOp1 right,SSp-ll1 right,6.07068164102148
MOp1 right,SSp-m1 right,18.9966651243115
MOp1 right,SSp-ul1 right,4.76367678205165
MOp1 right,SSp-tr1 right,1.00260662760663
MOp1 right,SSp-un1 right,0.173971320689132
MOp1 right,SSs1 right,0.139393939393939
MOp1 right,VISal1 right,0.109090909090909
MOp1 right,VISp1 right,0.0121212121212121
MOp1 right,VISrl1 right,0.0393939393939394
MOp1 right,MOB right,1.76954143524799
MOs1 left,MOp1 left,38.3844933713931
MOs1 left,MOs1 left,1137.51566598826
MOs1 left,SSp-n1 left,2.46929210693918
MOs1 left,SSp-bfd1 left,1.37885462770604
MOs1 left,SSp-ll1 left,1.1297852793275
MOs1 left,SSp-m1 left,5.01119620517221
MOs1 left,SSp-ul1 left,3.98327746877524
MOs1 left,SSp-tr1 left,0.0775450854597227
MOs1 left,SSp-un1 left,0.427803427370196
MOs1 left,SSs1 left,0.00903614457831325
MOs1 left,VISp1 left,0.00190114068441065
MOs1 left,RSPagl1 left,1.45165572309366
MOs1 left,RSPd1 left,4.78831312367306
MOs1 left,VISa1 left,0.0101351351351351
MOs1 left,MOB left,20.5917039175717
MOs1 right,MOp1 right,26.7054078666784
MOs1 right,MOs1 right,876.549274396532
MOs1 right,SSp-n1 right,0.271288615907436
MOs1 right,SSp-bfd1 right,0.471299840504788
MOs1 right,SSp-ll1 right,1.42639883661339
MOs1 right,SSp-m1 right,3.88529280524335
MOs1 right,SSp-ul1 right,1.60513874802547
MOs1 right,SSp-tr1 right,0.392307692307692
MOs1 right,SSp-un1 right,0.0857836177075667
MOs1 right,SSs1 right,0.016260162601626
MOs1 right,VISp1 right,0.147372429550647
MOs1 right,VISpm1 right,0.0099009900990099
MOs1 right,RSPagl1 right,0.31807004800334
MOs1 right,RSPd1 right,4.15145558034064
MOs1 right,VISa1 right,0.346153846153846
MOs1 right,MOB right,32.9513550880836
SSp-n1 left,MOp1 left,0.756535395091235
SSp-n1 left,MOs1 left,1.35870027738914
SSp-n1 left,SSp-n1 left,127.211972637011
SSp-n1 left,SSp-bfd1 left,16.5017433357052
SSp-n1 left,SSp-ll1 left,0.317135563734796
SSp-n1 left,SSp-m1 left,19.5237409289971
SSp-n1 left,SSp-ul1 left,0.579306527172071
SSp-n1 left,SSp-tr1 left,0.297427830214715
SSp-n1 left,SSp-un1 left,1.86579757735122
SSp-n1 left,SSs1 left,0.214038739603115
