source,target,weight
MOp1 left,MOp1 left,4695
MOp1 left,MOs1 left,4291
MOp1 left,SSp-n1 left,607
MOp1 left,SSp-bfd1 left,457
MOp1 left,SSp-ll1 left,317
MOp1 left,SSp-m1 left,1214
MOp1 left,SSp-ul1 left,757
MOp1 left,SSp-tr1 left,36
MOp1 left,SSp-un1 left,158
MOp1 left,SSs1 left,27
MOp1 left,VISp1 left,8
MOp1 left,VISpm1 left,4
MOp1 left,RSPagl1 left,42
MOp1 left,RSPd1 left,24
MOp1 left,VISa1 left,1
MOp1 left,MOB left,424
MOp1 right,MOp1 right,5136
MOp1 right,MOs1 right,3464
MOp1 right,SSp-n1 right,230
MOp1 right,SSp-bfd1 right,50
MOp1 right,SSp-ll1 right,356
MOp1 right,SSp-m1 right,1479
MOp1 right,SSp-ul1 right,857
MOp1 right,SSp-tr1 right,36
MOp1 right,SSp-un1 right,47
MOp1 right,SSs1 right,46
MOp1 right,VISal1 right,36
MOp1 right,VISp1 right,4
MOp1 right,VISrl1 right,13
MOp1 right,MOB right,279
MOs1 left,MOp1 left,3900
MOs1 left,MOs1 left,34123
MOs1 left,SSp-n1 left,270
MOs1 left,SSp-bfd1 left,330
MOs1 left,SSp-ll1 left,171
MOs1 left,SSp-m1 left,796
MOs1 left,SSp-ul1 left,747
MOs1 left,SSp-tr1 left,18
MOs1 left,SSp-un1 left,78
MOs1 left,SSs1 left,3
MOs1 left,VISp1 left,1
MOs1 left,RSPagl1 left,120
MOs1 left,RSPd1 left,521
MOs1 left,VISa1 left,3
MOs1 left,MOB left,2034
MOs1 right,MOp1 right,2112
MOs1 right,MOs1 right,26385
MOs1 right,SSp-n1 right,10
MOs1 right,SSp-bfd1 right,122
MOs1 right,SSp-ll1 right,129
MOs1 right,SSp-m1 right,282
MOs1 right,SSp-ul1 right,176
MOs1 right,SSp-tr1 right,9
MOs1 right,SSp-un1 right,25
MOs1 right,SSs1 right,4
MOs1 right,VISp1 right,12
MOs1 right,VISpm1 right,1
MOs1 right,RSPagl1 right,21
MOs1 right,RSPd1 right,144
MOs1 right,VISa1 right,9
MOs1 right,MOB right,1425
SSp-n1 left,MOp1 left,506
SSp-n1 left,MOs1 left,821
SSp-n1 left,SSp-n1 left,3027
SSp-n1 left,SSp-bfd1 left,1165
SSp-n1 left,SSp-ll1 left,39
SSp-n1 left,SSp-m1 left,943
SSp-n1 left,SSp-ul1 left,226
SSp-n1 left,SSp-tr1 left,41
SSp-n1 left,SSp-un1 left,218
SSp-n1 left,SSs1 left,16
SSp-n1 left,VISp1 left,4
SSp-n1 left,VISrl1 left,3
SSp-n1 left,MOB left,17
SSp-n1 right,MOp1 right,138
SSp-n1 right,MOs1 right,92
SSp-n1 right,SSp-n1 right,1589
SSp-n1 right,SSp-bfd1 right,896
SSp-n1 right,SSp-m1 right,620
SSp-n1 right,SSp-ul1 right,19
SSp-n1 right,SSp-un1 right,46
SSp-n1 right,SSs1 right,13
SSp-n1 right,MOB right,3
SSp-bfd1 left,MOp1 left,260
SSp-bfd1 left,MOs1 left,559
SSp-bfd1 left,SSp-n1 left,1278
SSp-bfd1 left,SSp-bfd1 left,14629
SSp-bfd1 left,SSp-ll1 left,167
SSp-bfd1 left,SSp-m1 left,145
SSp-bfd1 left,SSp-ul1 left,477
SSp-bfd1 left,SSp-tr1 left,87
SSp-bfd1 left,SSp-un1 left,437
SSp-bfd1 left,SSs1 left,676
SSp-bfd1 left,VISal1 left,120
SSp-bfd1 left,VISam1 left,2
SSp-bfd1 left,VISp1 left,167
SSp-bfd1 left,VISpm1 left,3
SSp-bfd1 left,RSPagl1 left,3
SSp-bfd1 left,RSPd1 left,28
SSp-bfd1 left,VISa1 left,186
SSp-bfd1 left,VISrl1 left,665
SSp-bfd1 left,MOB left,17
SSp-bfd1 right,MOp1 right,694
SSp-bfd1 right,MOs1 right,1092
SSp-bfd1 right,SSp-n1 right,859
SSp-bfd1 right,SSp-bfd1 right,13240
SSp-bfd1 right,SSp-ll1 right,315
SSp-bfd1 right,SSp-m1 right,326
SSp-bfd1 right,SSp-ul1 right,642
SSp-bfd1 right,SSp-tr1 right,243
SSp-bfd1 right,SSp-un1 right,442
SSp-bfd1 right,SSs1 right,528
SSp-bfd1 right,VISal1 right,89
SSp-bfd1 right,VISam1 right,9
SSp-bfd1 right,VISp1 right,325
SSp-bfd1 right,VISpm1 right,44
SSp-bfd1 right,RSPagl1 right,14
SSp-bfd1 right,RSPd1 right,5
SSp-bfd1 right,VISa1 right,171
SSp-bfd1 right,VISrl1 right,429
SSp-bfd1 right,MOB right,79
SSp-ll1 left,MOp1 left,1198
SSp-ll1 left,MOs1 left,925
SSp-ll1 left,SSp-bfd1 left,13
SSp-ll1 left,SSp-ll1 left,4821
SSp-ll1 left,SSp-m1 left,19
SSp-ll1 left,SSp-ul1 left,844
SSp-ll1 left,SSp-tr1 left,487
SSp-ll1 left,SSp-un1 left,31
SSp-ll1 left,VISam1 left,1
SSp-ll1 left,VISp1 left,69
SSp-ll1 left,VISpm1 left,1
SSp-ll1 left,RSPagl1 left,50
SSp-ll1 left,RSPd1 left,15
SSp-ll1 left,VISa1 left,81
SSp-ll1 left,VISrl1 left,41
SSp-ll1 left,MOB left,70
SSp-ll1 right,MOp1 right,501
SSp-ll1 right,MOs1 right,172
SSp-ll1 right,SSp-n1 right,1
SSp-ll1 right,SSp-bfd1 right,62
SSp-ll1 right,SSp-ll1 right,2887
SSp-ll1 right,SSp-m1 right,1
SSp-ll1 right,SSp-ul1 right,613
SSp-ll1 right,SSp-tr1 right,269
SSp-ll1 right,SSp-un1 right,41
SSp-ll1 right,SSs1 right,1
SSp-ll1 right,VISam1 right,1
SSp-ll1 right,VISp1 right,45
SSp-ll1 right,VISpm1 right,5
SSp-ll1 right,RSPagl1 right,52
SSp-ll1 right,RSPd1 right,134
SSp-ll1 right,VISa1 right,29
SSp-ll1 right,VISrl1 right,14
SSp-m1 left,MOp1 left,540
SSp-m1 left,MOs1 left,313
SSp-m1 left,SSp-n1 left,543
SSp-m1 left,SSp-bfd1 left,370
SSp-m1 left,SSp-ll1 left,1
SSp-m1 left,SSp-m1 left,3580
SSp-m1 left,SSp-ul1 left,211
SSp-m1 left,SSp-tr1 left,13
SSp-m1 left,SSp-un1 left,126
SSp-m1 left,SSs1 left,15
SSp-m1 left,VISal1 left,1
SSp-m1 left,VISp1 left,1
SSp-m1 left,VISa1 left,18
SSp-m1 left,VISrl1 left,3
SSp-m1 left,MOB left,44
SSp-m1 right,MOp1 right,2671
SSp-m1 right,MOs1 right,2694
SSp-m1 right,SSp-n1 right,1023
SSp-m1 right,SSp-bfd1 right,792
SSp-m1 right,SSp-ll1 right,20
SSp-m1 right,SSp-m1 right,4276
