source,target,weight
MOp1 left,MOp1 left,2130
MOp1 left,MOs1 left,2348
MOp1 left,SSp-n1 left,228
MOp1 left,SSp-bfd1 left,105
MOp1 left,SSp-ll1 left,2
MOp1 left,SSp-m1 left,514
MOp1 left,SSp-ul1 left,256
MOp1 left,SSp-un1 left,15
MOp1 right,MOp1 right,2173
MOp1 right,MOs1 right,2668
MOp1 right,SSp-n1 right,149
MOp1 right,SSp-bfd1 right,228
MOp1 right,SSp-ll1 right,13
MOp1 right,SSp-m1 right,571
MOp1 right,SSp-ul1 right,188
MOp1 right,SSp-tr1 right,15
MOp1 right,SSp-un1 right,44
MOp1 right,VISal1 right,4
MOp1 right,VISam1 right,11
MOp1 right,VISp1 right,53
MOp1 right,VISpm1 right,19
MOp1 right,RSPagl1 right,58
MOp1 right,RSPd1 right,1
MOp1 right,VISa1 right,3
MOp1 right,VISrl1 right,1
MOs1 left,MOp1 left,1639
MOs1 left,MOs1 left,5294
MOs1 left,SSp-n1 left,45
MOs1 left,SSp-bfd1 left,16
MOs1 left,SSp-m1 left,289
MOs1 left,SSp-ul1 left,183
MOs1 left,SSp-un1 left,21
MOs1 left,VISrl1 left,2
MOs1 right,MOp1 right,1282
MOs1 right,MOs1 right,5971
MOs1 right,SSp-n1 right,28
MOs1 right,SSp-bfd1 right,3
MOs1 right,SSp-ll1 right,7
MOs1 right,SSp-m1 right,255
MOs1 right,SSp-ul1 right,169
MOs1 right,SSp-un1 right,5
SSp-n1 left,MOp1 left,302
SSp-n1 left,MOs1 left,407
SSp-n1 left,SSp-n1 left,961
SSp-n1 left,SSp-bfd1 left,372
SSp-n1 left,SSp-m1 left,264
SSp-n1 left,SSp-ul1 left,64
SSp-n1 left,SSp-un1 left,70
SSp-n1 right,MOp1 right,389
SSp-n1 right,MOs1 right,662
SSp-n1 right,SSp-n1 right,567
SSp-n1 right,SSp-bfd1 right,70
SSp-n1 right,SSp-m1 right,296
SSp-n1 right,SSp-ul1 right,40
SSp-n1 right,SSp-un1 right,43
SSp-bfd1 left,MOp1 left,390
SSp-bfd1 left,MOs1 left,357
SSp-bfd1 left,SSp-n1 left,836
SSp-bfd1 left,SSp-bfd1 left,4372
SSp-bfd1 left,SSp-ll1 left,10
SSp-bfd1 left,SSp-m1 left,258
SSp-bfd1 left,SSp-ul1 left,301
SSp-bfd1 left,SSp-tr1 left,9
SSp-bfd1 left,SSp-un1 left,129
SSp-bfd1 left,SSs1 left,71
SSp-bfd1 left,VISal1 left,4
SSp-bfd1 left,VISam1 left,22
SSp-bfd1 left,VISp1 left,9
SSp-bfd1 left,RSPagl1 left,55
SSp-bfd1 left,RSPd1 left,15
SSp-bfd1 left,VISa1 left,11
SSp-bfd1 left,VISrl1 left,34
SSp-bfd1 right,MOp1 right,280
SSp-bfd1 right,MOs1 right,220
SSp-bfd1 right,SSp-n1 right,584
SSp-bfd1 right,SSp-bfd1 right,4420
SSp-bfd1 right,SSp-m1 right,174
SSp-bfd1 right,SSp-ul1 right,159
SSp-bfd1 right,SSp-tr1 right,5
SSp-bfd1 right,SSp-un1 right,284
SSp-bfd1 right,VISa1 right,3
SSp-bfd1 right,VISrl1 right,16
SSp-ll1 left,SSp-ll1 left,10
SSp-ll1 left,SSp-ul1 left,5
SSp-ll1 left,SSp-tr1 left,1
SSp-ll1 right,MOp1 right,5
SSp-ll1 right,MOs1 right,106
SSp-ll1 right,SSp-n1 right,3
SSp-ll1 right,SSp-bfd1 right,6
SSp-ll1 right,SSp-m1 right,1
SSp-ll1 right,VISal1 right,3
SSp-ll1 right,VISp1 right,41
SSp-ll1 right,VISpm1 right,4
SSp-ll1 right,RSPagl1 right,34
SSp-ll1 right,RSPd1 right,46
SSp-m1 left,MOp1 left,1865
SSp-m1 left,MOs1 left,1698
SSp-m1 left,SSp-n1 left,661
SSp-m1 left,SSp-bfd1 left,197
SSp-m1 left,SSp-m1 left,1198
SSp-m1 left,SSp-ul1 left,531
SSp-m1 left,SSp-un1 left,108
SSp-m1 left,SSs1 left,2
SSp-m1 right,MOp1 right,915
SSp-m1 right,MOs1 right,1149
SSp-m1 right,SSp-n1 right,43
SSp-m1 right,SSp-bfd1 right,12
SSp-m1 right,SSp-m1 right,999
SSp-m1 right,SSp-ul1 right,71
SSp-m1 right,SSp-un1 right,16
SSp-ul1 left,MOp1 left,958
SSp-ul1 left,MOs1 left,869
SSp-ul1 left,SSp-n1 left,143
SSp-ul1 left,SSp-bfd1 left,273
SSp-ul1 left,SSp-ll1 left,12
SSp-ul1 left,SSp-m1 left,514
SSp-ul1 left,SSp-ul1 left,456
SSp-ul1 left,SSp-un1 left,73
SSp-ul1 right,MOp1 right,416
SSp-ul1 right,MOs1 right,317
SSp-ul1 right,SSp-n1 right,8
SSp-ul1 right,SSp-bfd1 right,22
SSp-ul1 right,SSp-m1 right,153
SSp-ul1 right,SSp-ul1 right,139
SSp-ul1 right,SSp-un1 right,12
SSp-tr1 left,MOp1 left,155
SSp-tr1 left,MOs1 left,284
SSp-tr1 left,SSp-n1 left,1
SSp-tr1 left,SSp-bfd1 left,173
SSp-tr1 left,SSp-ll1 left,159
SSp-tr1 left,SSp-ul1 left,99
SSp-tr1 left,SSp-tr1 left,123
SSp-tr1 left,SSp-un1 left,30
SSp-tr1 left,SSs1 left,34
SSp-tr1 left,VISal1 left,63
SSp-tr1 left,VISam1 left,70
SSp-tr1 left,VISl1 left,66
SSp-tr1 left,VISp1 left,578
SSp-tr1 left,VISpm1 left,107
SSp-tr1 left,RSPagl1 left,214
SSp-tr1 left,RSPd1 left,214
SSp-tr1 left,VISa1 left,137
SSp-tr1 left,VISrl1 left,90
SSp-tr1 right,MOp1 right,73
SSp-tr1 right,MOs1 right,93
SSp-tr1 right,SSp-bfd1 right,9
SSp-tr1 right,SSp-ll1 right,78
SSp-tr1 right,SSp-ul1 right,1
SSp-tr1 right,SSp-tr1 right,203
SSp-tr1 right,SSp-un1 right,7
SSp-tr1 right,RSPagl1 right,52
SSp-tr1 right,RSPd1 right,29
SSp-tr1 right,VISa1 right,20
SSp-un1 left,MOp1 left,47
SSp-un1 left,SSp-n1 left,4
SSp-un1 left,SSp-bfd1 left,2
SSp-un1 left,SSp-ul1 left,7
SSp-un1 left,SSp-tr1 left,3
SSp-un1 left,SSp-un1 left,22
SSp-un1 left,VISl1 left,2
SSp-un1 right,MOp1 right,4
SSp-un1 right,MOs1 right,4
SSp-un1 right,SSp-n1 right,64
SSp-un1 right,SSp-bfd1 right,79
SSp-un1 right,SSp-ll1 right,4
SSp-un1 right,SSp-m1 right,18
SSp-un1 right,SSp-ul1 right,206
SSp-un1 right,SSp-tr1 right,25
SSp-un1 right,SSp-un1 right,98
