source,target,weight
MOp1 left,MOp1 left,822
MOp1 left,MOs1 left,415
MOp1 left,SSp-bfd1 left,2
MOp1 left,SSp-ll1 left,10
MOp1 left,SSp-m1 left,104
MOp1 left,SSp-ul1 left,82
MOp1 left,SSp-un1 left,1
MOp1 left,SSs1 left,9
MOp1 left,MOB left,39
MOp1 right,MOp1 right,673
MOp1 right,MOs1 right,401
MOp1 right,SSp-n1 right,24
MOp1 right,SSp-m1 right,201
MOp1 right,SSp-ul1 right,53
MOp1 right,MOB right,13
MOs1 left,MOp1 left,600
MOs1 left,MOs1 left,5568
MOs1 left,SSp-n1 left,100
MOs1 left,SSp-ll1 left,2
MOs1 left,SSp-m1 left,88
MOs1 left,SSp-ul1 left,7
MOs1 left,MOB left,316
MOs1 right,MOp1 right,177
MOs1 right,MOs1 right,3394
MOs1 right,MOB right,152
SSp-n1 left,SSp-n1 left,541
SSp-n1 left,SSp-bfd1 left,107
SSp-n1 left,SSp-ll1 left,36
SSp-n1 left,SSp-m1 left,142
SSp-n1 left,SSp-ul1 left,31
SSp-n1 left,SSp-tr1 left,33
SSp-n1 left,SSp-un1 left,37
SSp-n1 left,SSs1 left,1
SSp-n1 right,MOp1 right,89
SSp-n1 right,MOs1 right,17
SSp-n1 right,SSp-n1 right,507
SSp-n1 right,SSp-bfd1 right,114
SSp-n1 right,SSp-m1 right,479
SSp-n1 right,SSp-ul1 right,1
SSp-n1 right,SSp-un1 right,31
SSp-bfd1 left,MOp1 left,205
SSp-bfd1 left,MOs1 left,223
SSp-bfd1 left,SSp-n1 left,109
SSp-bfd1 left,SSp-bfd1 left,2157
SSp-bfd1 left,SSp-ll1 left,2
SSp-bfd1 left,SSp-m1 left,41
SSp-bfd1 left,SSp-ul1 left,159
SSp-bfd1 left,SSp-un1 left,86
SSp-bfd1 left,SSs1 left,52
SSp-bfd1 left,VISal1 left,15
SSp-bfd1 left,VISp1 left,4
SSp-bfd1 left,VISrl1 left,15
SSp-bfd1 left,MOB left,17
SSp-bfd1 right,MOp1 right,68
SSp-bfd1 right,MOs1 right,59
SSp-bfd1 right,SSp-n1 right,91
SSp-bfd1 right,SSp-bfd1 right,1366
SSp-bfd1 right,SSp-m1 right,46
SSp-bfd1 right,SSp-ul1 right,25
SSp-bfd1 right,SSp-tr1 right,3
SSp-bfd1 right,SSp-un1 right,28
SSp-bfd1 right,SSs1 right,71
SSp-bfd1 right,VISal1 right,4
SSp-bfd1 right,VISrl1 right,4
SSp-ll1 left,MOp1 left,2
SSp-ll1 left,SSp-ll1 left,717
SSp-ll1 left,SSp-ul1 left,28
SSp-ll1 left,SSp-tr1 left,76
SSp-ll1 left,SSp-un1 left,3
SSp-ll1 left,VISp1 left,1
SSp-ll1 right,MOp1 right,8
SSp-ll1 right,SSp-ll1 right,380
SSp-ll1 right,SSp-ul1 right,1
SSp-ll1 right,SSp-tr1 right,26
SSp-m1 left,MOp1 left,233
SSp-m1 left,MOs1 left,175
SSp-m1 left,SSp-n1 left,180
SSp-m1 left,SSp-bfd1 left,122
SSp-m1 left,SSp-m1 left,932
SSp-m1 left,SSp-ul1 left,102
