source,target,weight
MOp1 left,MOp1 left,28.9120098225447
MOp1 left,MOs1 left,5.17502738553249
MOp1 left,SSp-n1 left,0.21778574678192
MOp1 left,SSp-ll1 left,1.03799392097264
MOp1 left,SSp-m1 left,4.34874217376501
MOp1 left,SSp-ul1 left,1.47385408938069
MOp1 left,SSp-un1 left,0.120761634597372
MOp1 left,RSPagl1 left,0.0909090909090909
MOp1 left,MOB left,0.125045419759162
MOp1 right,MOp1 right,34.3151634566371
MOp1 right,MOs1 right,6.23892501177501
MOp1 right,SSp-n1 right,0.197756034193765
MOp1 right,SSp-bfd1 right,0.0126944605990113
MOp1 right,SSp-ll1 right,0.472471022128556
MOp1 right,SSp-m1 right,6.35541862979641
MOp1 right,SSp-ul1 right,1.50516669236766
MOp1 right,SSp-tr1 right,0.0673076923076923
MOp1 right,SSp-un1 right,0.0166666666666667
MOp1 right,MOB right,0.320695728933085
MOs1 left,MOp1 left,9.15400982743149
MOs1 left,MOs1 left,216.194534539565
MOs1 left,SSp-n1 left,0.167539709880647
MOs1 left,SSp-bfd1 left,0.216216216216216
MOs1 left,SSp-m1 left,0.820518462130405
MOs1 left,SSp-ul1 left,0.655435167921697
MOs1 left,RSPagl1 left,0.32096112796315
MOs1 left,RSPd1 left,1.30021907650826
MOs1 left,MOB left,4.50945128957431
MOs1 right,MOp1 right,4.21743200319497
MOs1 right,MOs1 right,200.444292913125
MOs1 right,SSp-n1 right,0.11500935619072
MOs1 right,SSp-bfd1 right,0.443130826420281
MOs1 right,SSp-m1 right,0.268587603497335
MOs1 right,SSp-ul1 right,0.775211936028261
MOs1 right,SSp-un1 right,0.0857836177075667
MOs1 right,SSs1 right,0.016260162601626
MOs1 right,RSPd1 right,0.105555555555556
MOs1 right,MOB right,7.53967832818742
SSp-n1 left,MOp1 left,0.276707530647986
SSp-n1 left,MOs1 left,0.285464098073555
SSp-n1 left,SSp-n1 left,38.8310846546796
SSp-n1 left,SSp-bfd1 left,7.63920243451232
SSp-n1 left,SSp-m1 left,5.48048640892613
SSp-n1 left,SSp-ul1 left,0.141577490418323
SSp-n1 left,SSp-un1 left,0.289305457494055
SSp-n1 left,SSs1 left,0.185123210687586
SSp-n1 left,MOB left,0.0297723292469352
SSp-n1 right,MOp1 right,0.0759493670886076
SSp-n1 right,MOs1 right,0.721518987341772
SSp-n1 right,SSp-n1 right,22.2371509513537
SSp-n1 right,SSp-bfd1 right,7.01998020300409
SSp-n1 right,SSp-m1 right,1.10107555764474
SSp-n1 right,SSp-ul1 right,1
SSp-n1 right,SSs1 right,0.154884096413332
SSp-bfd1 left,MOp1 left,0.170731707317073
SSp-bfd1 left,MOs1 left,0.625
SSp-bfd1 left,SSp-n1 left,7.34156563491294
